subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
019,1,137483,200,100,271.307,410.348,711.352,406,696,1,1,1,NA,NA,15.9557,13580
019,2,155266,500,100,471.415,614.287,315.06,729,418,0,0,0,1,0,154.128,11718
019,3,171467,200,50,136.064,295.65,636.77,338,689,0,0,0,0,0,67.2422,23023
019,4,197802,800,100,608.984,808.942,532.914,975,543,0,0,0,1,0,166.364,5656
019,5,209379,500,25,536.242,677.085,784.837,632,730,0,0,0,0,1,70.9913,14193
019,6,227827,800,25,710.121,900.72,424.834,929,465,0,0,0,1,0,49.1227,8402
019,7,240884,200,25,519.148,463.487,92.6873,329,346,0,1,1,0,1,286.8,14831
019,8,262539,500,50,528.281,728.011,523.099,751,545,1,1,0,NA,NA,31.7513,5609
019,9,272650,800,50,729.438,928.204,582.413,986,610,0,0,0,1,0,64.0427,7912
019,10,285419,500,50,502.025,687.113,661.451,649,636,1,1,1,NA,NA,45.8295,13166
019,11,303244,800,25,820.345,1020.06,518.526,931,518,0,1,1,0,1,89.0659,10000
019,12,318259,200,25,437.267,546.131,272.801,394,432,0,0,0,0,1,220.201,5697
019,13,328179,500,25,462.283,661.953,557.477,715,573,0,0,0,1,0,55.2716,11127
019,14,345402,800,100,892.031,1091.39,573.725,1062,588,1,1,0,NA,NA,32.6765,20945
019,15,377763,800,50,889.798,1089.61,558.117,1054,576,1,1,0,NA,NA,39.8515,7238
019,16,390027,200,50,300.898,500.867,535.624,441,530,0,1,1,0,1,60.1302,6144
019,17,400156,200,100,230.389,403.735,432.431,430,436,1,1,0,NA,NA,26.506,5319
019,18,409363,500,100,445.285,636.854,626.235,631,674,1,1,0,NA,NA,48.122,6694
019,19,420147,500,50,508.932,708.071,569.592,750,617,0,0,0,0,0,63.2897,7206
019,20,431667,200,25,262.184,461.647,556.767,468,556,1,1,1,NA,NA,6.39897,8392
019,21,443619,500,25,591.919,786.396,620.674,723,640,0,0,0,0,1,66.276,13918
019,22,461908,800,100,807.892,1006.08,594.011,911,598,1,1,1,NA,NA,95.1679,7854
019,23,474467,500,100,391.783,585.831,608.032,651,633,1,1,0,NA,NA,69.7882,3160
019,24,481523,200,100,120.05,298.138,609.143,305,607,1,1,1,NA,NA,7.1887,4653
019,25,489356,800,25,1075,1247.44,298.179,1015,360,0,1,1,0,1,240.524,17960
019,26,512420,800,50,938.572,1122.86,711.041,1077,735,0,1,0,0,0,51.7374,12856
019,27,530267,200,50,274.69,340.104,303.726,326,340,1,1,1,NA,NA,38.9197,6368
019,28,540251,500,100,463.441,645.115,410.963,773,402,0,0,0,1,0,128.199,2494
019,29,546892,800,100,762.462,956.506,635.122,932,651,1,1,0,NA,NA,29.2,3714
019,30,555188,500,50,656.651,853.983,480.866,780,495,0,1,1,0,1,75.3211,5929
019,31,565476,200,50,192.889,372.12,452.93,366,456,1,1,1,NA,NA,6.8463,3598
019,32,572276,500,25,532.813,699.071,353.405,658,368,0,1,1,0,1,43.5869,8944
019,33,585411,200,25,304.314,491.529,627.278,499,649,1,1,0,NA,NA,22.9705,5009
019,34,594283,200,100,130.312,330.299,538.105,424,533,1,1,0,NA,NA,93.8404,1631
019,35,599459,800,25,894.249,1091.49,610.162,999,628,0,0,0,0,1,94.1967,10862
019,36,615115,800,50,821.52,1021.24,561.505,997,580,1,1,0,NA,NA,30.4889,6183
019,37,626012,500,100,358.903,544.124,438.066,664,428,0,0,0,1,0,120.298,2279
019,38,632229,800,50,796.571,981.038,383.461,970,417,1,1,0,NA,NA,35.3089,9566
019,39,646532,800,25,845.369,1029.84,378.696,1019,405,0,1,0,0,0,28.4487,6087
019,40,657547,200,25,487.3,593.399,252.427,497,353,0,1,0,0,1,139.312,10062
019,41,673316,500,50,656.711,855.367,498.002,747,496,0,1,1,0,1,108.385,9049
019,42,687491,500,25,540.745,740.599,527.417,767,541,0,0,0,1,0,29.6904,5999
019,43,698100,800,100,743.098,942.391,507.587,1050,466,0,0,0,1,0,115.366,8717
019,44,711579,200,100,188.372,388.292,534.521,472,476,0,0,0,0,0,102.136,3574
019,45,718812,200,50,292.922,327.642,276.351,309,350,0,1,0,0,0,75.9714,3998
