subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
045,1,92510,500,100,561.217,754.05,450.594,763,434,1,1,0,NA,NA,18.8539,9538
045,2,107383,200,100,64.3864,258.896,513.983,342,457,0,0,0,0,0,100.764,5769
045,3,115999,800,100,870.435,1038.1,775.053,1051,691,1,1,0,NA,NA,85.0371,9817
045,4,130935,500,50,677.104,873.795,606.858,790,572,0,1,0,0,1,90.756,7711
045,5,143159,200,25,464.614,591.124,289.224,463,388,0,1,1,0,1,161.779,9663
045,6,157198,500,25,504.347,704.313,545.868,696,536,1,1,1,NA,NA,12.903,7082
045,7,169112,200,50,362.271,480.206,310.381,408,359,0,1,1,0,1,87.0489,4847
045,8,178167,800,25,767.004,966.537,566.768,958,563,1,1,1,NA,NA,9.33174,9598
045,9,192784,800,50,663.517,863.506,536.14,971,519,0,0,0,1,0,108.852,5521
045,10,203519,800,50,763.501,958.841,624.224,908,583,0,1,0,0,1,65.4538,10071
045,11,220031,200,100,190.585,389.653,521.182,432,473,1,1,0,NA,NA,64.1459,5639
045,12,228903,500,100,338.339,535.182,586.113,719,598,0,0,0,1,0,184.202,6359
045,13,239087,200,50,437.312,593.053,348.295,499,372,0,1,0,0,1,96.9943,4859
045,14,248335,500,50,560.023,758.031,587.186,723,541,0,1,0,0,0,57.9687,5961
045,15,258790,500,25,514.62,697.47,671.747,607,603,0,0,0,0,1,113.626,10551
045,16,273774,200,25,516.824,609.107,855.814,484,720,0,0,0,0,1,184.654,14048
045,17,293790,800,25,925,1103.07,740.207,1047,649,0,0,0,0,1,107.065,4521
045,18,303407,800,100,789.708,989.494,521.624,1098,496,0,0,0,1,0,111.491,6536
045,19,314855,200,50,192.814,391.575,518.173,378,497,1,1,0,NA,NA,25.1509,3663
045,20,322471,500,50,735.177,907.284,740.586,753,661,0,1,0,0,1,173.602,3231
045,21,330359,200,100,282.656,481.108,569.546,480,559,1,1,1,NA,NA,10.6036,4781
045,22,339071,800,25,888.637,1054.21,295.058,940,383,0,0,0,0,1,144.147,3766
045,23,347663,800,100,877.236,1068.7,662.088,1095,651,1,1,0,NA,NA,28.5429,6183
045,24,360423,200,25,315.697,506.974,613.698,420,573,0,1,0,0,1,96.0249,3472
045,25,367719,500,25,711.203,880.127,332.064,736,413,0,0,0,0,1,165.297,3767
045,26,376279,800,50,860.244,1057.78,604.999,969,544,0,0,0,0,1,107.72,3110
045,27,385759,500,100,498.707,698.699,537.099,782,524,1,1,0,NA,NA,84.3245,3103
045,28,393686,200,50,337.284,526.785,623.499,492,616,1,1,1,NA,NA,35.5846,3343
045,29,401391,800,50,767.004,949.776,701.651,960,666,1,1,0,NA,NA,37.0878,7688
045,30,416399,500,50,597.601,711.346,849.276,611,738,0,1,0,0,1,149.839,8920
045,31,429734,500,100,471.43,661.69,444.669,631,417,1,1,0,NA,NA,41.3212,2207
045,32,436199,800,100,749.878,948.85,579.246,949,585,1,1,1,NA,NA,5.7564,4862
045,33,446118,800,25,948.839,1141.77,655.634,1061,617,0,0,0,0,1,89.5312,5232
045,34,456368,200,25,416.81,556.021,323.252,402,395,0,1,0,0,1,169.912,4696
045,35,465143,200,100,81.4063,276.497,567.843,323,587,1,1,0,NA,NA,50.2946,3439
045,36,471293,500,25,440.69,612.331,384.467,611,399,1,1,1,NA,NA,14.5937,5041
045,37,480654,500,50,457.772,624.439,368.516,690,349,0,0,0,1,0,68.4039,7403
045,38,492335,800,50,723.774,923.761,535.789,937,527,1,1,0,NA,NA,15.8905,3902
045,39,501032,200,100,262.244,442.282,439.644,472,418,1,1,0,NA,NA,36.7646,4254
045,40,509047,800,100,694.193,890.599,610.554,946,628,1,1,0,NA,NA,58.0831,3871
045,41,517655,500,100,429.373,616.315,645.086,752,728,0,0,0,1,0,159.013,3743
045,42,525838,200,50,150.767,343.252,492.994,322,485,1,1,1,NA,NA,22.7054,3126
045,43,532063,200,25,337.195,503.069,392.184,492,446,0,0,0,0,0,54.9429,2953
045,44,538750,500,25,735.118,892.236,787.402,690,680,0,0,0,0,1,228.986,6345
045,45,550192,800,25,777.204,964.189,681.634,936,650,0,0,0,0,1,42.3716,3230
