subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
039,1,124096,800,50,678.289,877.804,514.356,1007,496,0,0,0,1,0,130.494,10093
039,2,139449,800,100,726.057,902.399,723.834,1010,700,0,0,0,1,0,110.209,4992
039,3,149536,200,50,106.527,296.415,494.699,306,493,1,1,1,NA,NA,9.73439,6902
039,4,159480,500,100,339.573,532.153,610.601,636,626,0,0,0,1,0,104.983,2646
039,5,166297,500,50,390.647,590.64,542.273,621,538,1,1,0,NA,NA,30.659,2240
039,6,172865,200,25,240.601,402.544,410.136,430,381,0,0,0,1,0,40.0343,4407
039,7,181016,200,100,247.428,395.418,691.764,339,659,1,1,1,NA,NA,65.2414,1985
039,8,187183,800,25,762.403,956.72,447.086,1094,470,0,0,0,1,0,139.179,13984
039,9,205944,500,25,388.345,585.45,492.673,661,489,0,0,0,1,0,75.639,4216
039,10,216568,800,25,668.09,851.401,391.607,921,396,0,0,0,1,0,69.7372,8000
039,11,230143,500,50,529.399,716.175,422.412,718,404,1,1,0,NA,NA,18.5023,3889
039,12,239273,500,25,435.03,629.87,606.804,685,609,0,0,0,1,0,55.1733,8250
039,13,252160,800,100,715.828,912.121,467.247,995,456,1,1,0,NA,NA,83.6385,3616
039,14,260960,200,100,182.579,373.806,595.915,339,597,1,1,1,NA,NA,34.8232,3014
039,15,269640,200,25,280.462,444.901,403.316,411,407,0,1,1,0,1,34.1007,8071
039,16,281728,200,50,238.307,436.358,509.582,421,496,1,1,1,NA,NA,20.5023,3592
039,17,288825,500,100,568.026,750.345,399.378,760,381,1,1,0,NA,NA,20.7599,2944
039,18,296384,800,50,661.208,851.494,652.923,929,659,0,0,0,1,0,77.7437,7649
039,19,308992,500,50,519.177,700.697,677.288,666,646,1,1,0,NA,NA,46.7206,4918
039,20,318752,800,50,843.168,1042.81,564.523,1057,576,1,1,0,NA,NA,18.2493,7738
039,21,331495,200,100,174.719,355.676,460.679,379,433,1,1,0,NA,NA,36.196,2296
039,22,337409,800,25,771.457,947.443,349.016,1078,378,0,0,0,1,0,133.735,12271
039,23,354471,500,25,589.632,749.852,752.905,733,713,0,0,0,0,0,43.3177,12807
039,24,372528,500,100,440.749,615.039,688.333,643,712,1,1,0,NA,NA,36.6326,5617
039,25,382448,800,100,646.475,842.32,466.817,1007,442,0,0,0,1,0,166.54,3097
039,26,390033,200,25,321.268,505.832,638.388,485,626,1,1,1,NA,NA,24.2369,11512
039,27,405671,200,50,365.67,501.959,333.76,422,377,0,1,1,0,1,90.902,5497
039,28,415816,500,50,371.292,565.075,472.337,611,460,1,1,0,NA,NA,47.5535,4736
039,29,424745,200,25,327.024,488.297,385.632,493,392,1,1,1,NA,NA,7.91609,5874
039,30,434641,500,100,298.533,497.922,559.092,656,554,0,0,0,1,0,158.16,2375
039,31,440687,500,25,604.391,775.351,354.906,682,396,0,1,1,0,1,101.996,8657
039,32,454049,200,100,244.02,396.998,395.995,387,401,1,1,1,NA,NA,11.1811,2936
039,33,462121,800,100,738.499,921.911,384.357,973,361,1,1,0,NA,NA,56.1747,7775
039,34,474648,800,50,821.55,1012.53,661.433,1033,639,1,1,0,NA,NA,30.3714,9167
039,35,488705,200,50,286.031,438.057,381.436,404,387,1,1,1,NA,NA,34.5086,3800
039,36,496416,800,25,848.834,1047.91,500.508,1026,511,1,1,1,NA,NA,24.2972,9801
039,37,511184,500,25,514.545,684.024,714.578,787,705,0,0,0,1,0,103.42,7967
039,38,523672,200,100,446.321,581.902,309.016,436,389,0,1,1,0,1,166.388,3265
039,39,530976,800,25,795.397,995.383,535.373,1049,533,0,0,0,1,0,53.6691,8297
039,40,544155,500,100,369.144,559.923,458.007,670,391,0,0,0,1,0,128.868,2152
039,41,551431,200,25,176.964,371.067,494.696,320,501,0,1,1,0,1,51.4545,3969
039,42,559096,800,50,693.113,877.966,684.106,938,692,0,0,0,1,0,60.5503,11616
039,43,575826,200,50,261.054,396.521,368.161,404,353,1,1,0,NA,NA,16.9052,7417
039,44,587969,800,100,523.692,723.583,550.663,936,544,0,0,0,1,0,212.521,3144
039,45,595800,500,50,507.741,694.055,657.093,666,638,1,1,1,NA,NA,33.9353,7903
