subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
006,1,94035,200,50,216.734,380.731,420.377,357,435,1,1,1,NA,NA,27.8748,10642
006,2,108924,500,100,460.072,651.62,627.786,779,679,0,0,0,1,0,137.29,7865
006,3,121347,800,100,619.16,819.094,549.005,961,531,0,0,0,1,0,143.043,4950
006,4,131395,500,50,577.153,772.644,467.997,648,489,0,1,1,0,1,126.401,5207
006,5,142940,800,25,776.045,973.092,607.637,1017,628,0,0,0,1,0,48.3999,8904
006,6,156820,800,50,813.583,1000.81,683.607,1089,720,0,0,0,1,0,95.405,4152
006,7,166012,500,25,505.463,694.11,433.471,608,452,0,1,1,0,1,88.081,8670
006,8,180180,200,100,184.907,309.554,688.958,320,651,1,1,0,NA,NA,39.3689,3530
006,9,187404,200,25,339.573,512.579,407.318,438,444,0,1,1,0,1,83.1116,4279
006,10,195836,800,25,740.813,932.027,426.24,986,453,0,0,0,1,0,60.2429,9712
006,11,210828,200,50,273.647,403.359,723.105,394,739,1,1,0,NA,NA,18.4454,2855
006,12,217628,200,100,284.956,478.201,478.324,409,498,1,1,1,NA,NA,71.944,3408
006,13,225603,500,100,569.131,735.932,731.54,723,725,1,1,1,NA,NA,14.4914,4103
006,14,234468,800,50,741.985,927.938,683.696,918,694,1,1,1,NA,NA,14.316,6376
006,15,245746,500,25,496.342,673.801,687.875,693,694,1,1,0,NA,NA,20.1518,5752
006,16,256171,800,100,698.816,896.818,592.802,1049,630,0,0,0,1,0,156.662,3199
006,17,264404,200,25,403.196,592.328,447.017,429,492,0,1,1,0,1,169.41,4887
006,18,273484,500,50,555.455,715.612,333.422,693,366,1,1,0,NA,NA,39.6567,7263
006,19,285220,500,25,603.269,787.008,679.123,685,696,0,0,0,0,1,103.395,5215
006,20,294892,500,100,778.317,964.446,686.287,770,663,0,1,1,0,1,195.835,3495
006,21,302988,200,25,319.015,443.183,333.523,373,408,0,1,1,0,1,102.335,5704
006,22,312564,800,50,698.711,892.466,446.785,916,479,1,1,0,NA,NA,39.8957,6456
006,23,323844,200,50,375.844,531.85,363.552,473,396,0,1,1,0,1,67.2027,6991
006,24,335524,500,50,381.547,581.489,546.659,655,533,0,0,0,1,0,74.7692,3151
006,25,342667,800,100,673.789,873.686,528.241,1066,492,0,0,0,1,0,195.699,3543
006,26,350908,200,100,424.724,534.687,278.514,451,355,0,1,1,0,0,113.374,3576
006,27,358971,800,25,731.751,875.233,258.006,921,349,0,0,0,1,0,101.856,9481
006,28,374269,800,50,762.418,950.052,403.242,907,440,0,1,0,0,0,56.6095,4934
006,29,384326,500,25,618.097,812.329,455.758,757,485,0,1,0,0,1,62.581,6119
006,30,396156,500,50,695.304,893.161,485.447,602,502,0,1,1,0,1,291.631,4937
006,31,406151,200,50,237.229,346.053,726.939,324,711,1,1,1,NA,NA,27.2095,4950
006,32,414853,500,100,506.595,694.903,648.208,646,659,1,1,0,NA,NA,50.0797,5361
006,33,424627,200,100,-0,200,540,322,465,0,0,0,1,0,143.21,2183
006,34,428628,200,25,191.781,391.683,546.136,427,547,0,0,0,1,0,35.3273,6015
006,35,438165,800,25,622.617,822.449,554.488,1000,569,0,0,0,1,0,178.143,5342
006,36,447877,800,100,934.058,1113.08,343.142,1038,385,1,1,0,NA,NA,85.958,4123
006,37,456892,500,25,467.969,665.406,491.084,661,505,1,1,1,NA,NA,14.5969,3998
006,38,465069,200,25,337.21,516.197,657.174,369,604,0,1,1,0,1,156.507,5647
006,39,474868,800,25,710.181,890.074,707.797,1003,739,0,0,0,1,0,117.158,8081
006,40,487620,800,50,839.718,1026.53,391.78,1035,438,1,1,0,NA,NA,46.9895,2863
006,41,495421,500,50,522.499,720.094,590.079,630,595,0,1,1,0,1,90.2281,5350
006,42,506580,200,100,358.888,557.612,509.761,423,510,0,1,1,0,1,134.612,3062
006,43,513668,500,100,521.412,698.629,387.554,666,399,1,1,1,NA,NA,34.5782,3190
006,44,521924,800,100,762.447,961.722,573.257,1052,611,1,1,0,NA,NA,97.8502,3472
006,45,530228,200,50,290.604,422.616,353.203,394,399,0,1,0,0,0,54.0017,5007
