subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
M2013,1,90241,500,100,528.222,727.998,555.363,757,528,1,1,0,NA,NA,39.8729,6027
M2013,2,100994,200,25,421.426,510.707,255.289,432,371,0,0,0,0,1,139.942,5487
M2013,3,110937,800,100,729.453,929.376,550.609,1047,542,0,0,0,1,0,117.939,5528
M2013,4,121618,500,25,446.381,641.087,608.547,615,592,0,1,1,0,1,30.8921,11623
M2013,5,138450,200,100,203.119,356.355,410.345,365,424,1,1,0,NA,NA,16.1614,2968
M2013,6,145881,200,50,440.719,542.503,262.646,492,373,0,0,0,0,1,121.361,7814
M2013,7,158538,800,50,746.54,912.638,762.417,916,739,1,1,0,NA,NA,23.657,12128
M2013,8,177082,800,25,719.267,885.977,323.712,917,387,0,0,0,1,0,70.4823,6927
M2013,9,189234,500,50,590.738,781.763,642.581,783,599,1,1,0,NA,NA,43.5981,11073
M2013,10,205217,800,50,597.571,793.326,611.1,908,605,0,0,0,1,0,114.836,6208
M2013,11,216033,800,25,898.79,1093.59,636.549,993,640,0,1,1,0,1,100.648,10529
M2013,12,231370,500,50,482.796,651.728,369.607,627,396,1,1,0,NA,NA,36.1672,13079
M2013,13,248841,200,100,279.253,424.962,374.547,360,406,1,1,1,NA,NA,72.1758,2927
M2013,14,256369,200,25,422.49,564.03,754.43,460,687,0,1,1,0,1,123.972,6135
M2013,15,267416,500,25,658.945,833.944,719.786,781,704,0,1,1,0,1,55.2473,9655
M2013,16,282386,800,100,105.378,304.629,527.462,1015,454,0,0,0,1,0,714.159,2088
M2013,17,287129,500,100,490.66,688.536,494.393,731,491,1,1,0,NA,NA,42.5997,5856
M2013,18,297274,200,50,396.389,485.138,264.645,327,391,0,1,0,0,1,202.418,4303
M2013,19,306081,200,100,294.073,462.794,408.02,417,451,1,1,0,NA,NA,62.8039,4736
M2013,20,314657,800,25,647.644,839.962,440.547,1001,445,0,0,0,1,0,161.099,9518
M2013,21,328721,200,50,252.01,424.874,426.244,346,440,0,1,0,0,1,80.0649,3642
M2013,22,335794,200,25,299.731,484.517,445.721,472,448,1,1,1,NA,NA,12.7228,3295
M2013,23,343313,500,25,398.692,598.524,551.596,664,533,0,0,0,1,0,68.066,7304
M2013,24,354906,500,100,350.832,550.652,551.224,610,536,1,1,0,NA,NA,61.2691,3367
M2013,25,362410,500,50,467.954,665.667,493.794,725,474,0,0,0,1,0,62.5471,7117
M2013,26,374705,800,50,545.309,742.485,595.423,961,603,0,0,0,1,0,218.646,6471
M2013,27,386089,800,100,646.475,843.499,478.038,1035,453,0,0,0,1,0,193.131,4423
M2013,28,395160,500,50,457.757,641.463,661.047,643,656,1,1,1,NA,NA,5.27557,8496
M2013,29,407922,200,50,440.734,582.963,321.857,445,397,0,1,1,0,1,157.099,5633
M2013,30,417849,500,25,384.953,584.927,544.479,695,530,0,0,0,1,0,111.021,7865
M2013,31,429691,800,50,743.128,924.565,705.06,1033,735,0,0,0,1,0,112.493,9448
M2013,32,444186,500,100,550.993,746.689,471.26,682,434,1,1,0,NA,NA,74.6523,5601
M2013,33,454290,200,25,196.245,382.168,612.985,343,585,0,1,1,0,1,48.1387,3048
M2013,34,460705,200,100,389.556,542.887,355.117,478,383,1,1,1,NA,NA,70.6247,1800
M2013,35,466586,800,100,688.58,869.084,377.307,925,347,1,1,0,NA,NA,63.6008,6487
M2013,36,477978,800,25,754.418,940.973,398.205,1012,378,0,0,0,1,0,73.8451,10150
M2013,37,492978,200,50,478.218,645.955,712.676,448,639,0,1,1,0,1,211.221,3400
M2013,38,500771,500,25,514.635,711.155,599.745,604,605,0,1,0,0,1,107.284,6802
M2013,39,512106,200,25,283.836,481.514,576.229,431,568,0,1,1,0,1,51.18,6535
M2013,40,522409,800,50,1007.97,1189.45,732.33,1075,707,0,1,1,0,1,117.221,6456
M2013,41,534146,200,100,275.883,473.923,507.175,443,472,1,1,0,NA,NA,46.835,3216
M2013,42,541242,500,100,437.356,636.008,574.315,668,591,1,1,0,NA,NA,36.0817,5487
M2013,43,551058,800,100,776.045,975.884,555.801,949,512,1,1,0,NA,NA,51.3935,7174
M2013,44,563170,800,25,652.214,845.05,636.403,944,640,0,0,0,1,0,99.015,9046
M2013,45,577033,500,50,611.273,796.783,672.304,739,664,0,1,1,0,1,58.3768,3358
