subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
001,1,67970,500,25,483.97,660.716,688.215,683,654,0,0,0,0,0,40.8323,8220
001,2,80722,200,25,66.73,259.977,510.748,323,500,0,0,0,1,0,63.9333,5880
001,3,89082,500,100,662.392,861.675,509.182,669,557,0,1,0,0,1,198.52,3097
001,4,98835,800,100,572.552,766.745,621.333,951,650,0,0,0,1,0,186.471,2679
001,5,106147,200,100,331.581,472.167,350.604,459,409,1,1,0,NA,NA,59.8621,2527
001,6,112995,200,50,442.987,567.253,787.715,405,720,0,1,0,0,1,175.816,3168
001,7,120322,800,25,842.038,1029.25,686.218,1022,687,1,1,1,NA,NA,7.28725,3472
001,8,134436,800,50,643.074,842.614,564.312,1031,592,0,0,0,1,0,190.409,2792
001,9,144251,500,50,591.889,791.078,509.023,656,484,0,1,0,0,1,137.376,3079
001,10,153010,200,100,482.721,651.16,711.68,497,645,0,1,1,0,1,167.963,5753
001,11,163196,500,50,481.592,681.192,559.607,697,586,1,1,0,NA,NA,30.7648,2129
001,12,170075,500,25,544.116,732.552,428.421,655,394,0,0,0,0,1,84.8477,3509
001,13,178082,800,50,726.042,925.523,567.449,1040,539,0,0,0,1,0,117.959,3638
001,14,186428,200,50,357.712,556.911,563.915,447,568,0,1,1,0,1,109.987,2944
001,15,193411,500,100,414.562,608.876,608.422,755,658,0,0,0,1,0,154.305,1593
001,16,199170,200,25,263.329,455.873,477.782,364,493,0,1,1,0,1,93.1251,1393
001,17,204178,800,25,988.612,1188.46,522.746,1040,540,0,1,0,0,1,149.46,5607
001,18,215018,800,100,727.169,906.078,366.135,1053,431,0,0,0,1,0,160.604,1769
001,19,221475,800,25,620.342,812.42,638.825,962,653,0,0,0,1,0,150.25,3463
001,20,231187,800,50,641.921,833.723,437.738,992,349,0,0,0,1,0,181.455,2023
001,21,238012,200,25,191.677,391.319,551.702,361,552,0,1,1,0,1,30.3208,2255
001,22,243819,500,25,547.577,719.28,366.251,728,381,1,1,0,NA,NA,17.1336,3711
001,23,252106,500,100,522.589,686.226,731.53,656,690,1,1,0,NA,NA,51.3645,2239
001,24,258834,200,100,510.093,671.831,346.167,490,427,0,1,1,0,1,198.988,2442
001,25,266060,500,50,558.873,758.268,566.002,615,589,0,1,0,0,1,145.102,2977
001,26,273371,200,50,358.844,557.09,575.433,484,583,0,1,1,0,1,73.4808,2001
001,27,279170,800,100,532.753,714.196,679.383,947,725,0,0,0,1,0,237.231,2203
001,28,285658,200,50,304.254,492.951,622.161,374,630,0,1,0,0,1,119.209,1289
001,29,290707,500,50,648.753,844.366,464.684,773,503,0,1,0,0,1,81.0014,2983
001,30,298427,200,100,399.799,526.828,770.267,352,675,0,1,0,0,1,199.1,1783
001,31,304171,800,100,748.78,948.78,540,1029,469,0,0,0,0,0,107.127,2327
001,32,311411,800,25,460.072,657.552,491.909,909,382,0,0,0,1,0,274.42,1935
001,33,317580,800,50,728.356,907.733,712.091,955,735,0,0,0,0,0,52.5258,2903
001,34,325403,500,100,688.551,884.125,462.054,614,474,0,1,0,0,1,270.389,3048
001,35,332931,200,25,187.236,384.485,571.977,333,566,0,1,1,0,1,51.8309,3075
001,36,339260,500,25,485.085,639.038,333.716,600,359,0,1,1,0,1,46.5106,3017
001,37,346450,500,50,498.707,690.09,632.308,730,708,0,0,0,0,0,85.5689,2156
001,38,353019,200,25,494.126,599.756,830.44,470,738,0,1,1,0,1,159.316,5871
001,39,363378,200,100,244.095,441.308,576.782,390,605,1,1,0,NA,NA,58.5555,1583
001,40,370035,500,100,583.907,773.179,651.415,725,675,1,1,0,NA,NA,53.6421,2578
001,41,377155,200,50,284.986,482.759,504.446,451,473,1,1,0,NA,NA,44.6936,1807
001,42,382963,800,25,869.23,1020.21,252.23,924,370,0,0,0,0,1,152.074,3512
001,43,391370,500,25,711.203,881.915,338.008,727,395,0,1,1,0,1,165.066,5032
001,44,401036,800,50,702.179,892.883,653.878,1082,713,0,0,0,1,0,198.143,4415
001,45,410115,800,100,778.332,967.281,409.306,915,401,1,1,0,NA,NA,52.9364,2383
