subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
M2014,1,97163,200,50,255.453,454.977,524.405,381,525,0,1,1,0,1,73.9793,2277
M2014,2,103205,800,100,448.68,641.863,462.088,907,438,0,0,0,1,0,266.229,2448
M2014,3,110836,500,50,563.487,753.75,435.701,735,451,1,1,1,NA,NA,24.1993,2720
M2014,4,118230,800,25,1075.03,1270.37,639.923,1018,626,0,1,1,0,1,252.755,3287
M2014,5,126994,500,25,574.867,771.172,474.923,607,490,0,1,1,0,1,164.863,2937
M2014,6,134796,500,100,647.629,837.46,654.314,626,625,0,1,1,0,1,213.482,3424
M2014,7,143411,200,25,206.547,379.769,641.709,373,629,1,1,1,NA,NA,14.399,3489
M2014,8,150749,200,100,341.743,489.814,721.096,434,683,1,1,1,NA,NA,67.5764,2686
M2014,9,157691,800,50,668.03,859.806,435.497,1061,411,0,0,0,1,0,202.68,6809
M2014,10,169339,200,50,388.39,474.633,814.633,380,726,0,1,1,0,1,129.658,5759
M2014,11,179916,800,50,648.753,840.164,645.213,944,636,0,0,0,1,0,104.244,4096
M2014,12,188667,800,100,680.554,880.45,528.123,1020,525,0,0,0,1,0,139.585,3464
M2014,13,196796,500,100,590.768,787.349,476.539,769,480,1,1,1,NA,NA,18.6729,4353
M2014,14,205771,200,100,323.627,406.577,789.119,332,709,0,1,1,0,0,109.457,3002
M2014,15,212820,500,50,665.826,835.589,341.63,789,363,0,1,1,0,0,51.2562,5408
M2014,16,223044,200,25,378.128,534.382,716.548,398,658,0,1,1,0,1,148.418,3559
M2014,17,230947,500,25,587.389,770.758,678.784,707,670,0,1,1,0,1,64.3607,3975
M2014,18,239627,800,25,826.054,1015.88,669.223,968,681,0,1,0,0,1,49.3106,5089
M2014,19,249908,200,100,311.06,500.694,619.634,472,634,1,1,0,NA,NA,32.0896,1742
M2014,20,255731,800,100,699.852,897.532,483.061,974,484,1,1,0,NA,NA,76.4736,5544
M2014,21,266092,500,100,586.164,769.568,678.495,758,702,1,1,0,NA,NA,26.1976,4321
M2014,22,274868,200,50,317.949,517.9,545.549,478,561,1,1,0,NA,NA,42.7874,2706
M2014,23,281419,200,25,338.339,497.338,701.441,453,693,0,1,1,0,1,45.1346,6489
M2014,24,291987,500,50,535.108,733.805,502.673,737,497,1,1,1,NA,NA,6.51059,3199
M2014,25,299898,800,25,697.586,893.101,618.969,992,656,0,0,0,1,0,105.604,5591
M2014,26,310378,800,50,715.768,901.811,399.34,966,410,0,0,0,1,0,65.0683,3935
M2014,27,319275,500,25,660.129,824.786,326.9,773,347,0,1,1,0,1,55.5505,6503
M2014,28,330516,500,100,612.32,779.538,342.333,779,341,1,1,1,NA,NA,1.43733,2591
M2014,29,337980,800,100,699.912,898.062,590.854,1066,635,0,0,0,1,0,173.643,4025
M2014,30,346794,800,50,715.813,914.069,589.933,987,604,0,0,0,1,0,74.2751,3801
M2014,31,355252,500,25,639.674,811.723,352.978,774,350,0,1,1,0,1,37.8402,4281
M2014,32,363962,800,25,739.686,925.263,685.361,943,708,0,0,0,0,0,28.7604,4503
M2014,33,373436,200,50,398.647,525.217,770.551,354,682,0,1,0,0,1,192.76,2103
M2014,34,380579,200,25,239.521,370.349,708.379,305,664,0,1,1,0,1,78.9938,5495
M2014,35,389788,500,50,411.087,599.163,638.29,641,648,1,1,0,NA,NA,42.9487,3439
M2014,36,397444,200,100,280.447,413.254,722.136,400,690,1,1,0,NA,NA,34.7617,2887
M2014,37,404260,500,50,338.414,538.241,550.827,604,540,0,0,0,1,0,66.6447,5081
M2014,38,413643,200,25,325.836,471.71,719.841,480,729,1,1,1,NA,NA,12.3532,5400
M2014,39,423220,500,100,464.599,658.879,467.321,665,463,1,1,1,NA,NA,7.49206,3310
M2014,40,431220,500,25,429.373,628.327,569.952,640,581,1,1,0,NA,NA,16.0722,4872
M2014,41,440571,200,100,156.429,337.904,466.16,312,472,1,1,1,NA,NA,26.5542,3193
M2014,42,446908,200,50,207.631,404.58,504.54,479,484,0,0,0,1,0,77.2023,4646
M2014,43,455125,800,100,829.458,1024.91,626.702,938,635,1,1,0,NA,NA,87.3094,6321
M2014,44,466356,800,25,788.579,988.579,540,999,528,1,1,0,NA,NA,15.8933,6271
M2014,45,477571,800,50,823.794,1005.29,713.62,931,716,0,1,0,0,1,74.3289,6943
