subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
014,1,60231,800,25,681.679,855.816,354.011,924,363,0,0,0,1,0,68.7743,6371
014,2,71447,500,50,379.307,579.249,533.38,655,520,0,0,0,1,0,76.9232,2287
014,3,77969,200,25,420.271,589.669,697.436,455,641,0,1,1,0,1,146.016,2559
014,4,84776,500,25,389.556,570.138,661.456,639,682,0,0,0,1,0,71.8614,3055
014,5,93208,800,100,889.798,1070.89,722.467,1060,698,1,1,0,NA,NA,26.7803,1625
014,6,99992,200,50,491.82,625.929,294.09,495,358,0,1,1,0,1,145.694,2719
014,7,107511,500,100,514.56,689.376,380.992,790,372,0,0,0,1,0,101.025,1311
014,8,113712,800,50,788.624,986.859,592.723,1028,594,1,1,0,NA,NA,41.1605,1993
014,9,120847,200,100,381.547,504.717,310.379,430,388,0,1,0,0,0,107.739,1503
014,10,126360,200,100,221.28,373.575,402.755,309,444,1,1,1,NA,NA,76.6234,1498
014,11,132513,800,100,778.317,974.734,614.598,1036,616,1,1,0,NA,NA,61.2822,2696
014,12,140208,200,25,294.014,476.282,640.559,349,603,0,1,1,0,1,132.708,2311
014,13,146439,800,25,740.798,936.277,458.281,1064,470,0,0,0,1,0,128.259,3528
014,14,156047,500,50,564.577,742.706,695.618,711,682,1,1,1,NA,NA,34.5068,2760
014,15,163433,500,100,351.963,551.176,516.47,698,502,0,0,0,1,0,147.536,1744
014,16,168936,500,25,610.106,806.184,470.934,702,496,0,1,1,0,1,107.157,1874
014,17,175520,200,50,301.962,494.993,475.501,480,472,1,1,1,NA,NA,15.3965,1681
014,18,181168,800,50,713.5,905.663,645.462,1025,716,0,0,0,1,0,138.625,3382
014,19,189393,200,50,289.468,489.154,526.532,456,525,1,1,1,NA,NA,33.1899,1278
014,20,195191,200,25,128.129,304.095,465.292,319,454,1,1,0,NA,NA,18.6995,2249
014,21,200576,800,25,411.102,601.614,452.189,940,375,0,0,0,1,0,347.078,3760
014,22,208592,500,100,564.621,722.269,325.447,663,348,1,1,1,NA,NA,63.4145,2047
014,23,215031,800,50,545.309,730.242,667.3,993,727,0,0,0,1,0,269.455,3296
014,24,223176,500,25,454.36,624.653,701.593,697,697,0,0,0,1,0,72.4923,1666
014,25,228976,200,100,290.589,476.104,630.6,445,619,1,1,1,NA,NA,33.197,1959
014,26,234753,500,50,403.226,586.286,424.353,611,416,1,1,0,NA,NA,26.0872,1505
014,27,240335,800,100,430.424,630.378,533.74,943,535,0,0,0,1,0,312.624,2911
014,28,247432,500,100,539.612,702.064,342.232,657,380,1,1,0,NA,NA,58.7981,4087
014,29,255904,200,25,296.303,494.299,574.399,446,561,0,1,1,0,1,50.1233,2081
014,30,262569,200,50,332.649,529.412,493.704,455,506,0,1,1,0,1,75.4211,1192
014,31,267697,800,100,563.457,761.017,592.373,969,639,0,0,0,1,0,213.145,1776
014,32,274264,800,50,791.95,991.786,523.875,924,542,0,1,0,0,1,70.1675,3062
014,33,282201,500,50,705.602,904.93,570.778,781,582,0,1,0,0,1,124.437,3791
014,34,290712,800,25,660.069,842.717,690.353,1022,729,0,0,0,1,0,183.401,2552
014,35,299448,200,100,221.28,420.647,523.28,364,524,1,1,1,NA,NA,56.6516,1215
014,36,304120,500,25,500.984,668.745,716.813,631,693,0,1,1,0,1,44.6291,4255
014,37,312647,200,25,195.151,369.571,636.591,340,646,0,1,0,0,1,31.0315,1711
014,38,317575,200,50,-0,200,540,352,735,0,0,0,1,0,247.243,1765
014,39,321178,800,25,744.285,940.208,462.201,1073,460,0,0,0,1,0,132.811,1959
014,40,327776,500,25,463.411,651.836,642.931,659,668,0,0,0,0,0,26.0727,2551
014,41,334703,200,100,148.582,346.473,515.051,351,506,1,1,1,NA,NA,10.1199,1278
014,42,339239,800,100,817.002,1004.59,398.129,1089,389,1,1,0,NA,NA,84.9027,2679
014,43,346896,500,50,573.702,747.649,710.923,750,725,1,1,0,NA,NA,14.2719,2887
014,44,354313,500,100,519.148,718.585,515.846,787,516,1,1,0,NA,NA,68.4147,1319
014,45,360049,800,50,847.734,1026.56,351.705,997,365,1,1,1,NA,NA,32.41,2809
