subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
004,1,72293,500,25,440.69,592.657,740.069,601,736,1,1,1,NA,NA,9.28204,5306
004,2,82581,200,50,304.299,500.552,492.397,489,493,1,1,1,NA,NA,11.5682,5992
004,3,92982,200,25,95.1297,289.105,573.315,437,634,0,0,0,1,0,159.861,5662
004,4,102455,500,100,398.603,586.195,441.321,716,398,0,0,0,1,0,136.843,3983
004,5,111925,800,50,660.069,840.924,382.179,1093,365,0,0,0,1,0,252.661,2598
004,6,119621,800,25,470.301,669.853,560.514,1099,585,0,0,0,1,0,429.845,2630
004,7,128302,500,50,444.083,638.616,470.53,637,412,0,0,0,0,0,58.5524,1639
004,8,134670,200,100,26.9188,226.771,537.186,343,481,0,0,0,1,0,129.097,1553
004,9,138397,800,100,561.232,751.834,437.724,1003,441,0,0,0,1,0,251.187,2093
004,10,145238,200,100,229.268,423.541,489.076,360,480,1,1,0,NA,NA,64.1858,1328
004,11,150766,800,50,794.223,994.22,537.69,1074,596,0,0,0,1,0,98.818,3767
004,12,159653,200,25,141.763,339.389,514.166,441,503,0,0,0,1,0,102.222,1511
004,13,164269,800,100,977.309,1153.52,754.303,1047,670,0,1,0,0,1,135.847,2823
004,14,171981,200,50,179.286,310.79,680.958,315,651,1,1,0,NA,NA,30.2521,2144
004,15,177613,500,100,506.624,699.431,454.93,694,415,1,1,0,NA,NA,40.2974,2912
004,16,184974,800,25,665.736,854.938,420.584,942,486,0,0,0,1,0,108.899,6688
004,17,196373,500,50,315.637,509.3,477.072,620,453,0,0,0,1,0,113.287,2624
004,18,202821,500,25,505.538,705.177,520.887,688,536,1,1,1,NA,NA,22.8785,2398
004,19,209670,500,25,335.026,523.861,625.769,631,650,0,0,0,1,0,109.844,2199
004,20,215894,500,50,540.715,740.13,565.157,651,556,0,1,1,0,1,89.5987,1344
004,21,222150,800,25,986.405,1180.7,645.961,1002,618,0,1,1,0,1,180.871,8807
004,22,236198,800,50,606.68,806.616,531.177,991,529,0,0,0,1,0,184.397,4081
004,23,245430,200,100,317.874,498.066,429.545,475,399,1,1,0,NA,NA,38.2758,1638
004,24,251070,800,100,807.832,1007.8,532.95,1011,560,1,1,0,NA,NA,27.2381,3737
004,25,261637,200,25,386.178,535.558,348.86,477,408,0,1,0,0,1,83.2259,4504
004,26,270101,500,100,555.5,734.863,389.993,759,425,1,1,0,NA,NA,42.522,1905
004,27,277583,200,50,289.438,423.337,724.105,361,680,0,1,1,0,1,76.3625,1326
004,28,284861,500,25,453.218,653.21,537.363,699,542,0,0,0,1,0,46.0241,4223
004,29,293430,500,100,555.5,753.788,496.416,692,506,1,1,1,NA,NA,62.5267,2817
004,30,300646,800,25,574.867,767.257,633.231,906,719,0,0,0,1,0,163.114,3367
004,31,309213,200,25,251.965,442.801,472.665,375,491,0,1,1,0,1,70.2365,2416
004,32,315381,800,50,724.886,913.504,412.049,948,457,0,0,0,0,0,56.6621,5095
004,33,325421,200,100,68.9365,268.936,540.201,426,525,0,0,0,1,0,157.798,1879
004,34,329781,500,50,428.204,597.488,380.748,706,347,0,0,0,1,0,113.638,1465
004,35,336102,800,100,610.061,810.051,543.549,1002,515,0,0,0,1,0,194.061,1639
004,36,342374,200,50,304.314,459.932,381.752,387,347,0,0,0,0,1,80.7881,2511
004,37,349029,200,50,295.195,495.016,529.698,393,537,0,1,1,0,1,102.277,1839
004,38,354661,500,100,618.007,816.962,504.066,798,485,1,1,0,NA,NA,26.8897,1494
004,39,360710,200,25,174.734,361.627,473.602,381,484,1,1,0,NA,NA,21.987,3297
004,40,368110,800,50,735.147,934.448,507.933,1015,558,0,0,0,1,0,94.8437,5712
004,41,378766,200,100,159.894,353.828,583.625,470,657,0,0,0,1,0,137.404,1831
004,42,384750,500,50,326.979,514.312,449.872,725,391,0,0,0,1,0,218.758,2175
004,43,390869,800,25,658.96,858.948,536.166,1000,579,0,0,0,1,0,147.412,10657
004,44,406341,800,100,815.872,993.88,351.847,1090,410,0,0,0,0,0,112.342,2969
004,45,414725,500,25,354.286,533.965,658.263,645,674,0,0,0,1,0,112.145,1968
