subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
015,1,106182,800,100,493.01,692.991,544.302,932,540,0,0,0,1,0,239.047,7955
015,2,118862,200,50,95.1297,289.673,571.755,391,624,0,0,0,1,0,114.003,7497
015,3,130071,500,50,558.888,758.886,541.626,646,561,0,1,0,0,1,114.537,4519
015,4,140383,200,25,386.088,532.665,735.955,440,690,0,1,1,0,1,103.434,6911
015,5,151606,800,50,527.104,717.996,442.436,1064,353,0,0,0,1,0,357.376,4094
015,6,160327,800,25,827.258,1017.07,669.412,1089,730,0,0,0,1,0,94.0447,4799
015,7,170046,500,100,508.932,699.862,444.345,673,452,1,1,1,NA,NA,27.9313,4111
015,8,179198,500,25,771.562,956.517,691.625,755,675,0,1,0,0,1,202.201,7719
015,9,191966,200,100,48.4362,239.757,567.666,336,648,0,0,0,0,0,125.364,2806
015,10,197709,500,25,563.531,756.071,631.392,780,657,0,0,0,0,0,35.0477,5305
015,11,207766,200,100,491.925,603.78,820.983,378,680,0,1,1,0,1,266.182,2070
015,12,214054,500,50,622.647,822.552,550.867,748,540,0,1,1,0,1,75.3401,8336
015,13,226950,800,25,812.379,1012.37,544.726,1056,534,0,0,0,1,0,44.9337,3032
015,14,234991,800,50,525.912,706.784,399.456,982,345,0,0,0,1,0,280.551,4433
015,15,243870,200,25,305.468,443.957,356.165,397,375,0,1,1,0,1,50.5939,13328
015,16,261143,800,100,625.986,825.128,507.238,917,479,1,1,0,NA,NA,96.1139,6791
015,17,273678,200,50,448.62,596.719,749.461,481,702,0,1,1,0,1,125.074,3919
015,18,282061,500,100,682.894,880.466,482.461,709,484,0,1,1,0,1,171.472,6479
015,19,293582,500,50,531.68,709.344,387.513,755,359,0,0,0,0,0,53.8282,8438
015,20,307246,800,25,912.429,1093.58,355.491,904,405,0,1,1,0,1,195.937,8582
015,21,320823,800,100,660.114,859.776,561.119,1053,604,0,0,0,1,0,197.925,4375
015,22,329711,500,25,487.27,680.587,620.423,783,712,0,0,0,1,0,137.385,10347
015,23,344199,200,25,237.229,423.157,459.512,412,447,1,1,1,NA,NA,16.7638,11385
015,24,359343,200,50,278.12,469.662,471.932,433,463,1,1,0,NA,NA,37.7339,5424
015,25,369111,200,100,397.451,565.855,695.296,456,679,0,1,0,0,1,111.057,3560
015,26,376863,800,50,681.649,877.489,464.806,975,446,0,0,0,1,0,99.3079,2848
015,27,384313,500,100,664.612,862.855,588.289,737,596,0,1,0,0,1,126.091,3152
015,28,391958,500,100,440.69,638.536,583.514,657,591,1,1,0,NA,NA,19.9238,4158
015,29,400303,800,100,497.502,689.433,450.761,906,431,0,0,0,1,0,217.467,3392
015,30,407887,200,25,328.122,497.781,402.195,476,377,0,0,0,0,0,33.3052,5544
015,31,417534,200,100,304.329,371.643,791.306,307,712,0,1,1,0,0,102.314,2670
015,32,424046,200,50,338.369,452.77,315.054,437,341,1,1,1,NA,NA,30.3629,4760
015,33,432655,500,50,458.84,636.383,398.211,759,352,0,0,0,1,0,131.036,3774
015,34,440535,800,25,822.68,1021.42,585.445,986,606,0,1,0,0,1,40.955,8019
015,35,453245,500,25,407.672,591.551,653.509,627,694,0,0,0,1,0,53.8156,5382
015,36,462591,800,50,568.056,768.054,538.348,1052,537,0,0,0,1,0,283.95,3716
015,37,472832,200,25,197.385,393.648,501.774,344,502,0,1,1,0,1,49.6483,8810
015,38,485782,500,25,344.108,539.222,597.781,628,635,0,0,0,1,0,96.2643,5559
015,39,495278,200,50,379.307,525.697,345.589,480,342,1,1,0,NA,NA,45.8373,6671
015,40,507111,800,25,762.418,943.862,372.818,920,391,0,1,1,0,0,29.9997,5152
015,41,517047,800,50,572.552,772.513,533.338,928,533,0,0,0,1,0,155.487,3071
015,42,524518,200,100,261.129,420.234,399.696,394,403,1,1,1,NA,NA,26.4409,3199
015,43,531295,500,100,639.659,819.284,700.158,698,706,0,1,0,0,1,121.425,1815
015,44,537871,800,100,502.04,701.936,529.778,1059,469,0,0,0,1,0,362.2,1800
015,45,543847,500,50,571.461,748.863,380.887,796,368,1,1,0,NA,NA,48.8665,5720
