subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
012,1,66253,500,100,624.908,802.663,374.753,727,385,1,1,1,NA,NA,76.3541,2978
012,2,75613,800,100,597.571,797.531,533.047,980,525,0,0,0,1,0,182.647,3129
012,3,83382,500,25,481.562,664.047,668.692,754,721,0,0,0,1,0,104.056,4831
012,4,92415,200,50,205.359,395.854,601.753,454,627,0,0,0,1,0,63.3904,2336
012,5,98684,800,25,724.945,913.932,414.115,1039,376,0,0,0,1,0,130.747,3993
012,6,107255,800,50,436.141,635.403,565.359,953,614,0,0,0,1,0,321.3,1763
012,7,113422,200,100,328.152,528.013,530.456,473,525,1,1,1,NA,NA,55.2827,1704
012,8,119069,200,25,312.215,426.473,754.915,301,642,0,1,1,0,1,168.8,6168
012,9,128966,500,50,577.138,765.552,424.937,619,473,0,1,0,0,1,154.232,1954
012,10,135471,800,100,586.253,773.795,419.78,1055,401,0,0,0,1,0,281.832,1473
012,11,141839,800,25,818.176,1018.16,535.24,907,543,0,1,1,0,1,111.433,3608
012,12,150190,500,50,586.239,770.827,406.464,682,411,0,1,1,0,1,88.943,2283
012,13,156718,200,25,196.26,362.387,650.22,327,635,0,1,1,0,1,38.5214,1873
012,14,161982,500,100,739.641,906.052,760.362,751,714,0,1,1,0,1,161.835,3473
012,15,170342,800,50,527.089,727.033,547.666,951,554,0,0,0,1,0,224.056,2631
012,16,177480,500,25,704.431,863.339,302.926,698,379,0,1,0,0,1,182.001,3343
012,17,185373,200,50,391.783,554.593,373.393,425,438,0,1,1,0,1,144.804,1801
012,18,191167,200,100,428.219,603.657,682.942,469,623,0,1,1,0,1,147.396,2305
012,19,197550,200,50,184.921,377.905,590.454,346,588,1,1,1,NA,NA,31.9997,1222
012,20,202254,800,100,746.57,946.415,555.201,999,575,1,1,0,NA,NA,56.189,2127
012,21,209088,200,100,200.881,397.929,574.307,370,611,1,1,0,NA,NA,46.1133,1232
012,22,213710,800,25,606.635,805.157,497.683,1028,485,0,0,0,1,0,223.203,3102
012,23,221166,200,25,348.57,462.403,310.553,379,396,0,1,1,0,1,119.403,3133
012,24,228229,500,100,377.023,576.615,557.541,720,590,0,0,0,1,0,147.013,1423
012,25,233614,500,25,513.503,701.969,431.776,728,428,0,0,0,1,0,26.3034,3018
012,26,241069,800,50,512.267,708.077,474.613,1081,455,0,0,0,1,0,373.439,2344
012,27,247590,500,50,709.04,834.544,223.628,617,360,0,1,0,0,1,256.754,2468
012,28,254533,500,25,527.149,722.837,607.286,640,600,0,1,1,0,1,83.1566,1929
012,29,260719,500,50,391.828,591.589,553.675,614,545,1,1,0,NA,NA,24.0312,2315
012,30,266959,500,100,415.73,606.646,453.565,793,426,0,0,0,1,0,188.382,2482
012,31,273334,200,100,433.815,610.589,680.043,456,657,0,1,0,0,1,156.297,1191
012,32,278517,800,50,610.106,806.947,602.008,970,645,0,0,0,1,0,168.626,1485
012,33,284270,800,25,707.869,906.42,494.731,964,490,0,0,0,1,0,57.774,3137
012,34,292014,800,100,676.054,874.67,583.235,932,640,1,1,0,NA,NA,80.6787,1170
012,35,297687,200,25,388.42,528.798,746.788,403,675,0,1,1,0,1,144.841,6256
012,36,307870,200,50,249.711,449.102,557.419,357,556,0,1,1,0,1,92.1133,1442
012,37,312647,200,50,212.224,332.112,373.912,319,402,1,1,1,NA,NA,30.9979,2903
012,38,318903,800,50,588.466,788.466,540,1000,537,0,0,0,1,0,211.556,1887
012,39,325310,500,50,696.549,875.859,708.511,678,677,0,1,0,0,1,200.352,2640
012,40,332509,500,25,467.999,667.665,522.307,625,529,0,1,1,0,1,43.1864,1971
012,41,338678,200,25,221.25,394.13,646.136,348,619,0,1,1,0,1,53.5198,1353
012,42,343541,200,100,396.389,561.649,702.278,371,652,0,1,0,0,1,197.167,928
012,43,348663,500,100,363.463,563.203,526.259,645,511,1,1,0,NA,NA,83.2076,1030
012,44,353631,800,25,664.716,850.19,401.798,1035,355,0,0,0,1,0,190.643,2574
012,45,360661,800,100,765.861,959.878,635.546,1086,718,0,0,0,1,0,150.683,1480
