subnum,trial,step,startx,starty,xtrans,ytrans,label,targx,targy,dist,timeout,hit,rt
M2012,0,1,969,976,1,1,normal,1008,836,145.331,2000,0,2006
M2012,0,2,1110,737,1,1,normal,1308,822,215.474,2000,1,1213
M2012,0,3,1303,816,1,1,normal,1201,542,292.37,2000,1,1225
M2012,0,4,1214,554,1,1,normal,903,512,313.823,2000,1,705
M2012,0,5,887,521,1,1,normal,1118,721,305.55,2000,1,755
M2012,0,6,1123,708,1,1,normal,1333,512,287.256,2000,1,784
M2012,0,7,1317,519,1,1,normal,1212,786,286.904,2000,1,826
M2012,0,8,1200,781,1,1,normal,1328,509,300.613,2000,1,389
M2012,0,9,1334,489,1,1,normal,1181,771,320.832,2000,1,1098
M2012,0,10,1193,768,1,1,normal,1160,472,297.834,2000,1,693
M2012,0,11,1155,483,1,1,normal,1357,698,295.007,2000,1,404
M2012,0,12,1368,718,1,1,normal,1073,602,316.987,2000,1,408
M2012,0,13,1080,601,1,1,normal,1285,815,296.346,2000,1,680
M2012,0,14,1287,831,1,1,normal,1269,515,316.512,2000,1,572
M2012,0,15,1272,513,1,1,normal,983,423,302.69,2000,1,957
M2012,0,16,996,412,1,1,normal,735,254,305.098,2000,1,337
M2012,0,17,662,209,1,1,normal,596,520,317.926,2000,1,893
M2012,0,18,601,511,1,1,normal,867,392,291.405,2000,1,695
M2012,0,19,864,408,1,1,normal,568,413,296.042,2000,1,752
M2012,0,20,575,402,1,1,normal,782,623,302.804,2000,1,1010
M2012,0,21,778,605,1,1,normal,955,378,287.851,2000,0,2010
M2012,0,22,957,399,1,1,normal,1012,673,279.466,2000,1,1271
M2012,0,23,1025,680,1,1,normal,721,748,311.512,2000,1,726
M2012,0,24,734,742,1,1,normal,979,593,286.751,2000,1,391
M2012,0,25,975,573,1,1,normal,985,293,280.179,2000,1,655
M2012,0,26,985,307,1,1,normal,1066,582,286.681,2000,1,821
M2012,0,27,1080,595,1,1,normal,835,773,302.835,2000,1,536
M2012,0,28,823,773,1,1,normal,1035,550,307.69,2000,1,494
M2012,0,29,1026,538,1,1,normal,1122,263,291.275,2000,1,441
M2012,0,30,1138,266,1,1,normal,1125,563,297.284,2000,1,363
M2012,1,1,985,972,1,-1,MODIFIED1,666,601,489.287,2000,0,2011
M2012,1,2,1042,772,1,-1,MODIFIED1,642,302,617.171,2000,0,2009
M2012,1,3,698,806,1,-1,MODIFIED1,602,599,228.178,2000,1,1368
M2012,1,4,605,464,1,-1,MODIFIED1,609,300,164.049,2000,0,2004
M2012,1,5,676,744,1,-1,MODIFIED1,756,561,199.722,2000,0,2012
M2012,1,6,715,291,1,-1,MODIFIED1,950,332,238.55,2000,0,2004
M2012,1,7,1016,0,1,-1,MODIFIED1,1164,542,561.843,2000,0,2009
M2012,1,8,761,361,1,-1,MODIFIED1,870,602,264.503,2000,0,2008
M2012,1,9,845,587,1,-1,MODIFIED1,624,773,288.855,2000,0,2007
M2012,1,10,1075,400,1,-1,MODIFIED1,922,734,367.376,2000,0,2002
M2012,1,11,1200,294,1,-1,MODIFIED1,625,687,696.473,2000,0,2000
M2012,1,12,637,273,1,-1,MODIFIED1,784,432,216.541,2000,0,2012
M2012,1,13,652,301,1,-1,MODIFIED1,1000,641,486.522,2000,0,2007
M2012,1,14,558,350,1,-1,MODIFIED1,781,436,239.008,2000,0,2000
M2012,1,15,627,240,1,-1,MODIFIED1,1074,497,515.614,2000,0,2006
M2012,1,16,0,639,1,-1,MODIFIED1,1155,786,1164.32,2000,0,2008
M2012,1,17,1487,435,1,-1,MODIFIED1,1356,563,183.153,2000,0,2001
M2012,1,18,1203,515,1,-1,MODIFIED1,1211,301,214.149,2000,0,2007
M2012,1,19,1136,612,1,-1,MODIFIED1,1099,579,49.5782,2000,0,2002
M2012,1,20,1146,523,1,-1,MODIFIED1,1244,316,229.026,2000,0,2009
M2012,1,21,1021,611,1,-1,MODIFIED1,949,263,355.37,2000,0,2013
M2012,1,22,1059,932,1,-1,MODIFIED1,1223,384,572.014,2000,1,1345
M2012,1,23,1235,683,1,-1,MODIFIED1,1149,675,86.3713,2000,0,2007
M2012,1,24,1292,486,1,-1,MODIFIED1,851,712,495.537,2000,0,2000
M2012,1,25,910,491,1,-1,MODIFIED1,1102,548,200.282,2000,0,2004
M2012,1,26,1064,528,1,-1,MODIFIED1,984,824,306.62,2000,0,2006
M2012,1,27,974,221,1,-1,MODIFIED1,828,568,376.464,2000,0,2002
M2012,1,28,1058,628,1,-1,MODIFIED1,752,277,465.658,2000,0,2000
M2012,1,29,641,91,1,-1,MODIFIED1,703,573,485.971,2000,1,1183
M2012,1,30,723,479,1,-1,MODIFIED1,863,320,211.851,2000,0,2012
M2012,2,1,944,988,1,-1,MODIFIED2,1130,786,274.591,2000,0,2009
M2012,2,2,1137,250,1,-1,MODIFIED2,1304,542,336.382,2000,0,2011
M2012,2,3,1313,481,1,-1,MODIFIED2,1014,465,299.428,2000,1,903
M2012,2,4,1004,608,1,-1,MODIFIED2,1309,411,363.09,2000,0,2006
M2012,2,5,1156,602,1,-1,MODIFIED2,1013,365,276.8,2000,1,1151
M2012,2,6,995,712,1,-1,MODIFIED2,1177,616,205.767,2000,0,2002
M2012,2,7,1170,535,1,-1,MODIFIED2,922,774,344.42,2000,0,2001
M2012,2,8,968,603,1,-1,MODIFIED2,1180,621,212.763,2000,1,1835
M2012,2,9,1172,470,1,-1,MODIFIED2,954,424,222.8,2000,0,2001
M2012,2,10,1004,556,1,-1,MODIFIED2,708,595,298.558,2000,0,2002
M2012,2,11,704,770,1,-1,MODIFIED2,896,829,200.861,2000,0,2011
M2012,2,12,897,335,1,-1,MODIFIED2,1009,551,243.311,2000,1,1658
M2012,2,13,1015,533,1,-1,MODIFIED2,1300,625,299.481,2000,1,799
M2012,2,14,1285,448,1,-1,MODIFIED2,1001,650,348.511,2000,0,2008
M2012,2,15,1142,456,1,-1,MODIFIED2,1279,536,158.647,2000,0,2011
M2012,2,16,1251,581,1,-1,MODIFIED2,1357,826,266.948,2000,1,1770
M2012,2,17,1358,247,1,-1,MODIFIED2,1076,720,550.684,2000,0,2004
M2012,2,18,1086,307,1,-1,MODIFIED2,1271,493,262.338,2000,0,2012
M2012,2,19,1360,590,1,-1,MODIFIED2,986,398,420.405,2000,0,2002
M2012,2,20,602,260,1,-1,MODIFIED2,735,562,329.989,2000,0,2013
M2012,2,21,813,574,1,-1,MODIFIED2,938,783,243.528,2000,1,1633
M2012,2,22,951,306,1,-1,MODIFIED2,826,505,235.002,2000,0,2010
M2012,2,23,805,503,1,-1,MODIFIED2,654,750,289.5,2000,0,2003
M2012,2,24,706,248,1,-1,MODIFIED2,944,826,625.082,2000,1,387
M2012,2,25,950,257,1,-1,MODIFIED2,688,670,489.094,2000,0,2012
M2012,2,26,750,301,1,-1,MODIFIED2,777,384,87.2812,2000,1,502
M2012,2,27,796,690,1,-1,MODIFIED2,619,639,184.201,2000,1,1410
M2012,2,28,615,440,1,-1,MODIFIED2,849,831,455.672,2000,1,1284
M2012,2,29,840,232,1,-1,MODIFIED2,1095,659,497.347,2000,1,1049
M2012,2,30,1102,402,1,-1,MODIFIED2,813,557,327.942,2000,1,1363
M2012,3,1,958,978,1,-1,MODIFIED3,676,440,607.427,2000,1,1898
