subnum,trial,step,xtrans,ytrans,label,startx,starty,time,xpos,ypos,step,targx,targy,dist,timeout,hit
001,0,1,1,1,normal,951,995,17228,951,995,1,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17242,951,995,2,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17255,951,995,3,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17268,951,995,4,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17282,951,995,5,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17295,951,995,6,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17308,951,995,7,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17323,951,995,8,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17336,951,995,9,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17348,951,995,10,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17361,951,995,11,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17375,951,995,12,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17389,951,995,13,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17402,951,995,14,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17414,951,995,15,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17427,951,995,16,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17441,951,995,17,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17454,951,995,18,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17468,951,995,19,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17481,951,995,20,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17493,951,995,21,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17506,951,995,22,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17520,951,995,23,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17533,951,995,24,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17545,951,995,25,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17558,951,995,26,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17571,951,995,27,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17584,951,995,28,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17598,951,995,29,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17611,951,995,30,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17623,951,995,31,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17636,951,995,32,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17649,951,995,33,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17663,951,995,34,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17676,951,995,35,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17689,951,995,36,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17703,949,994,37,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17716,932,993,38,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17729,923,991,39,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17741,896,978,40,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17754,881,969,41,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17767,864,948,42,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17779,855,941,43,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17791,832,915,44,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17804,804,893,45,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17817,786,878,46,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17830,767,857,47,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17842,758,851,48,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17855,744,836,49,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17867,739,831,50,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17879,733,822,51,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17892,729,815,52,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17904,728,812,53,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17917,724,805,54,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17930,723,801,55,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17943,720,795,56,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17957,718,790,57,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17970,717,787,58,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17983,716,779,59,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,17996,716,773,60,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,18009,716,771,61,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,18021,716,763,62,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,18033,716,757,63,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,18046,716,748,64,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,18059,716,743,65,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,18071,715,736,66,696,683,402.95,2000,0
001,0,1,1,1,normal,951,995,18085,713,728,67,696,683,402.95,2000,0
