subnum,trial,step,startx,starty,xtrans,ytrans,label,targx,targy,dist,timeout,hit,rt
015,0,1,952,976,1,1,normal,1164,320,689.406,2000,1,877
015,0,2,1178,276,1,1,normal,906,473,335.847,2000,1,564
015,0,3,898,489,1,1,normal,702,693,282.899,2000,1,656
015,0,4,704,708,1,1,normal,758,398,314.668,2000,1,392
015,0,5,764,403,1,1,normal,685,689,296.71,2000,1,523
015,0,6,685,676,1,1,normal,983,658,298.543,2000,1,263
015,0,7,1027,659,1,1,normal,887,374,317.53,2000,1,843
015,0,8,877,370,1,1,normal,1182,432,311.238,2000,1,280
015,0,9,1217,452,1,1,normal,1319,699,267.232,2000,1,806
015,0,10,1336,706,1,1,normal,1303,399,308.769,2000,1,580
015,0,11,1303,412,1,1,normal,1358,694,287.313,2000,1,657
015,0,12,1350,691,1,1,normal,1063,749,292.802,2000,1,308
015,0,13,1065,766,1,1,normal,1302,567,309.467,2000,1,803
015,0,14,1314,562,1,1,normal,1158,830,310.097,2000,1,379
015,0,15,1142,827,1,1,normal,927,639,285.603,2000,1,624
015,0,16,919,625,1,1,normal,1129,417,295.574,2000,1,548
015,0,17,1141,416,1,1,normal,1334,636,292.659,2000,1,362
015,0,18,1322,633,1,1,normal,1221,358,292.961,2000,1,588
015,0,19,1210,357,1,1,normal,1012,573,293.019,2000,1,477
015,0,20,1018,566,1,1,normal,1014,273,293.027,2000,1,639
015,0,21,1024,287,1,1,normal,986,572,287.522,2000,1,538
015,0,22,985,578,1,1,normal,1235,404,304.592,2000,1,575
015,0,23,1247,394,1,1,normal,958,519,314.875,2000,1,530
015,0,24,944,511,1,1,normal,1091,250,299.55,2000,1,371
015,0,25,1092,262,1,1,normal,1129,548,288.383,2000,1,946
015,0,26,1145,542,1,1,normal,1318,781,295.042,2000,1,1124
015,0,27,1345,813,1,1,normal,1072,610,340.203,2000,1,517
015,0,28,1066,615,1,1,normal,1211,344,307.353,2000,1,852
015,0,29,1199,356,1,1,normal,1269,639,291.529,2000,1,285
015,0,30,1262,661,1,1,normal,974,581,298.905,2000,1,551
015,1,1,959,988,1,-1,MODIFIED1,1238,650,438.275,2000,0,2004
015,1,2,1192,433,1,-1,MODIFIED1,980,803,426.432,2000,0,2008
015,1,3,954,314,1,-1,MODIFIED1,769,590,332.266,2000,1,1722
015,1,4,763,509,1,-1,MODIFIED1,589,830,365.126,2000,0,2000
015,1,5,586,344,1,-1,MODIFIED1,792,609,335.65,2000,0,2008
015,1,6,499,515,1,-1,MODIFIED1,1089,564,592.031,2000,0,2007
015,1,7,1080,393,1,-1,MODIFIED1,823,425,258.985,2000,1,828
015,1,8,810,641,1,-1,MODIFIED1,822,725,84.8528,2000,1,1212
015,1,9,816,362,1,-1,MODIFIED1,1122,705,459.657,2000,0,2000
015,1,10,1124,331,1,-1,MODIFIED1,1327,486,255.409,2000,0,2006
015,1,11,1316,719,1,-1,MODIFIED1,1037,566,318.198,2000,0,2013
015,1,12,1289,460,1,-1,MODIFIED1,1079,269,283.868,2000,0,2012
015,1,13,1088,774,1,-1,MODIFIED1,1253,513,308.781,2000,1,1901
015,1,14,1244,564,1,-1,MODIFIED1,1195,808,248.871,2000,0,2000
015,1,15,1190,280,1,-1,MODIFIED1,1176,509,229.428,2000,1,1029
015,1,16,1177,564,1,-1,MODIFIED1,1240,802,246.197,2000,1,1714
015,1,17,1243,260,1,-1,MODIFIED1,996,628,443.208,2000,1,1789
015,1,18,983,457,1,-1,MODIFIED1,1295,611,347.937,2000,1,1317
015,1,19,1289,452,1,-1,MODIFIED1,1027,477,263.19,2000,1,779
015,1,20,1031,587,1,-1,MODIFIED1,1247,681,235.567,2000,0,2010
015,1,21,1246,311,1,-1,MODIFIED1,1029,475,272.002,2000,1,1650
015,1,22,1024,612,1,-1,MODIFIED1,1234,256,413.323,2000,0,2007
015,1,23,1128,844,1,-1,MODIFIED1,935,268,607.474,2000,0,2000
