subnum,trial,time,distancecat,targsize,distance,posx,posy,targ.x,targ.y,hit,hadit,nailedit,tooshort,overshot,delta,aimtime
M1006,1,68048,200,50,87.1551,262.341,600.907,376,729,0,0,0,1,0,171.249,2354
M1006,2,74552,200,100,-0,200,540,370,688,0,0,0,1,0,225.397,1840
M1006,3,82832,500,50,348.555,541.354,469.516,640,452,0,0,0,1,0,100.189,10394
M1006,4,97401,800,100,612.41,808.866,474.214,1008,480,0,0,0,1,0,199.218,5191
M1006,5,107521,500,100,607.757,807.099,511.724,643,491,0,1,0,0,1,165.402,4374
M1006,6,116657,500,25,449.777,649.76,536.075,685,532,0,0,0,1,0,35.4753,3014
M1006,7,124169,800,25,568.026,767.065,573.028,1011,592,0,0,0,1,0,244.672,6551
M1006,8,137345,200,25,211.123,376.391,656.014,300,591,0,1,1,0,1,100.312,2983
M1006,9,143832,800,50,840.848,1023.97,372.362,1042,429,0,0,0,0,0,59.4394,4647
M1006,10,153633,800,100,933,1126.37,651.01,1011,649,0,1,1,0,1,115.39,5752
M1006,11,164761,800,25,678.363,867.004,416.378,1033,393,0,0,0,1,0,167.634,6838
M1006,12,176448,500,25,531.709,728.797,595.579,667,598,0,1,1,0,1,61.8441,3512
M1006,13,184481,200,100,309.906,439.703,736.428,322,657,0,1,1,0,1,141.996,1489
M1006,14,189937,200,50,279.298,463.548,632.465,430,635,1,1,1,NA,NA,33.6439,2478
M1006,15,196681,200,25,510.004,703.955,461.683,421,498,0,1,1,0,1,285.276,2543
M1006,16,203496,500,50,365.67,565.408,526.175,714,522,0,0,0,1,0,148.65,4072
M1006,17,211536,500,100,427.094,626.913,527.578,619,515,1,1,1,NA,NA,14.8601,4822
M1006,18,220922,800,50,755.621,947.642,430.487,1072,405,0,0,0,1,0,126.942,3713
M1006,19,229553,800,25,770.404,970.401,537.759,1041,535,0,0,0,1,0,70.6533,4673
M1006,20,239193,800,100,744.21,943.955,559.481,971,520,1,1,0,NA,NA,47.8558,4534
M1006,21,248656,200,25,248.524,411.143,671.084,342,642,0,1,1,0,1,75.0105,3815
M1006,22,256728,800,50,670.325,869.301,502.971,974,484,0,0,0,1,0,106.404,3720
M1006,23,265192,500,50,477.089,677.057,534.449,612,513,0,1,0,0,1,68.5015,3176
M1006,24,272674,200,100,414.502,569.324,728.18,371,694,0,1,0,0,1,201.248,2143
M1006,25,278882,500,100,297.5,497.489,542.596,686,506,0,0,0,1,0,192.031,1880
M1006,26,284666,500,25,371.307,571.301,542.16,680,543,0,0,0,1,0,108.702,2432
M1006,27,291177,200,50,158.728,341.006,467.117,324,477,1,1,1,NA,NA,19.6693,3129
M1006,28,297521,200,100,417.918,532.296,286.553,458,359,0,1,1,0,0,103.771,4262
M1006,29,306160,200,50,400.922,596.518,599.26,461,577,0,1,1,0,1,137.334,3366
M1006,30,313689,800,100,612.335,811.299,575.604,950,593,0,0,0,1,0,139.787,3055
M1006,31,322489,200,25,247.472,407.155,404.614,388,407,1,1,1,NA,NA,19.3029,8224
M1006,32,334618,800,50,379.247,554.843,406.152,907,355,0,0,0,1,0,355.853,2991
M1006,33,341601,500,25,422.46,596.135,393.203,659,360,0,0,0,1,0,71.0942,7718
M1006,34,353552,500,100,516.884,703.636,423.726,704,420,1,1,1,NA,NA,3.74424,5782
M1006,35,364129,500,50,512.312,680.388,361.981,708,371,1,1,0,NA,NA,29.0476,4663
M1006,36,373338,800,25,707.899,899.816,433.33,988,411,0,0,0,1,0,90.9674,3687
M1006,37,381801,800,50,702.194,897.68,619.491,1036,663,0,0,0,1,0,145.002,4071
M1006,38,390697,800,25,866.998,1063.91,466.949,992,476,0,1,1,0,1,72.4823,7663
M1006,39,403330,500,100,740.813,940.81,537.845,781,526,0,1,1,0,1,160.249,4695
M1006,40,412673,500,25,565.756,734.933,355.808,639,363,0,1,0,0,1,96.2023,4839
M1006,41,421793,800,100,963.594,1163.59,540,1021,529,0,1,1,0,1,143.018,3152
M1006,42,429962,200,100,182.699,362.056,624.361,379,618,1,1,0,NA,NA,18.099,4639
M1006,43,438008,200,50,186.011,381.718,579.732,315,572,0,1,1,0,1,67.1648,3143
M1006,44,444424,200,25,178.05,343.741,434.926,371,410,0,0,0,1,0,36.9377,4208
M1006,45,452114,500,50,380.397,573.195,466.331,752,412,0,0,0,1,0,186.877,4798
