subnum,trial,step,xtrans,ytrans,label,startx,starty,time,xpos,ypos,step,targx,targy,dist,timeout,hit
M2010,0,1,1,1,normal,996,975,8284,996,975,1,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8297,996,975,2,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8311,996,975,3,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8323,996,975,4,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8336,996,975,5,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8349,996,975,6,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8363,996,975,7,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8376,996,975,8,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8389,996,975,9,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8402,996,975,10,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8415,996,975,11,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8428,996,976,12,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8442,993,981,13,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8455,990,983,14,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8468,989,983,15,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8481,989,983,16,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8495,989,983,17,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8508,989,983,18,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8520,989,983,19,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8533,989,983,20,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8546,989,983,21,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8559,989,983,22,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8571,989,983,23,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8583,989,983,24,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8596,989,983,25,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8609,989,983,26,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8623,991,978,27,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8636,997,971,28,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8649,1010,953,29,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8660,1018,939,30,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8672,1037,911,31,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8685,1054,869,32,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8697,1099,684,33,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8709,1114,604,34,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8721,1124,540,35,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8735,1128,458,36,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8747,1128,434,37,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8759,1124,395,38,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8773,1119,366,39,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8786,1116,355,40,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8799,1111,344,41,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8812,1107,338,42,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8825,1103,329,43,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8839,1101,329,44,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8850,1099,328,45,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8862,1099,328,46,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8874,1097,325,47,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8887,1095,324,48,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8899,1091,322,49,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8913,1089,320,50,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8926,1088,319,51,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8940,1088,319,52,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8951,1088,319,53,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8965,1088,319,54,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8978,1088,319,55,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,8992,1088,319,56,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,9005,1088,319,57,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,9018,1088,319,58,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,9030,1088,319,59,1079,264,715.828,2000,0
M2010,0,1,1,1,normal,996,975,9043,1088,319,60,1079,264,715.828,2000,0
