subnum,trial,step,startx,starty,xtrans,ytrans,label,targx,targy,dist,timeout,hit,rt
M2014,0,1,966,975,1,1,normal,684,421,621.643,2000,0,2007
M2014,0,2,878,789,1,1,normal,782,705,127.562,2000,1,863
M2014,0,3,791,718,1,1,normal,1048,566,298.585,2000,1,563
M2014,0,4,1047,584,1,1,normal,756,496,304.015,2000,1,305
M2014,0,5,744,491,1,1,normal,718,793,303.117,2000,1,570
M2014,0,6,724,786,1,1,normal,1017,770,293.437,2000,1,1923
M2014,0,7,1012,759,1,1,normal,1280,625,299.633,2000,1,721
M2014,0,8,1262,619,1,1,normal,1056,426,282.285,2000,1,616
M2014,0,9,1054,441,1,1,normal,1094,723,284.823,2000,1,593
M2014,0,10,1108,713,1,1,normal,1344,558,282.349,2000,1,602
M2014,0,11,1337,548,1,1,normal,1114,751,301.559,2000,1,517
M2014,0,12,1122,762,1,1,normal,971,487,313.729,2000,1,376
M2014,0,13,982,488,1,1,normal,1142,734,293.455,2000,1,572
M2014,0,14,1144,732,1,1,normal,1049,448,299.468,2000,1,701
M2014,0,15,1037,458,1,1,normal,759,526,286.196,2000,1,535
M2014,0,16,769,521,1,1,normal,783,825,304.322,2000,1,742
M2014,0,17,801,831,1,1,normal,599,588,315.995,2000,1,574
M2014,0,18,605,595,1,1,normal,899,591,294.027,2000,1,350
M2014,0,19,919,587,1,1,normal,1068,839,292.754,2000,1,646
M2014,0,20,1066,836,1,1,normal,1005,546,296.346,2000,1,368
M2014,0,21,1013,554,1,1,normal,742,402,310.717,2000,1,623
M2014,0,22,755,417,1,1,normal,1042,412,287.044,2000,1,745
M2014,0,23,1039,425,1,1,normal,994,708,286.555,2000,1,548
M2014,0,24,990,717,1,1,normal,1279,616,306.14,2000,1,532
M2014,0,25,1282,617,1,1,normal,1012,480,302.769,2000,1,522
M2014,0,26,1027,475,1,1,normal,1295,383,283.351,2000,1,576
M2014,0,27,1305,380,1,1,normal,1031,241,307.241,2000,1,530
M2014,0,28,1029,225,1,1,normal,1191,495,314.871,2000,1,741
M2014,0,29,1192,504,1,1,normal,903,411,303.595,2000,1,487
M2014,0,30,905,414,1,1,normal,1012,690,296.015,2000,1,650
M2014,1,1,964,973,1,-1,MODIFIED1,1141,778,263.351,2000,0,2013
M2014,1,2,685,798,1,-1,MODIFIED1,865,662,225.601,2000,0,2001
M2014,1,3,723,559,1,-1,MODIFIED1,1138,538,415.531,2000,0,2007
M2014,1,4,1112,638,1,-1,MODIFIED1,1176,240,403.113,2000,0,2008
M2014,1,5,1147,853,1,-1,MODIFIED1,897,351,560.807,2000,0,2011
M2014,1,6,1156,732,1,-1,MODIFIED1,810,638,358.541,2000,0,2000
M2014,1,7,1310,600,1,-1,MODIFIED1,1110,631,202.388,2000,0,2007
M2014,1,8,1497,497,1,-1,MODIFIED1,1321,417,193.329,2000,0,2011
M2014,1,9,1228,736,1,-1,MODIFIED1,1051,548,258.211,2000,0,2008
M2014,1,10,1184,772,1,-1,MODIFIED1,971,838,222.991,2000,0,2008
M2014,1,11,1580,246,1,-1,MODIFIED1,1081,558,588.511,2000,1,1211
M2014,1,12,1072,526,1,-1,MODIFIED1,785,506,287.696,2000,1,1547
M2014,1,13,795,547,1,-1,MODIFIED1,1083,544,288.016,2000,0,2008
M2014,1,14,1000,562,1,-1,MODIFIED1,784,571,216.187,2000,0,2008
M2014,1,15,972,985,1,-1,MODIFIED1,742,274,747.276,2000,0,2011
M2014,1,16,836,781,1,-1,MODIFIED1,953,488,315.496,2000,0,2000
M2014,1,17,952,567,1,-1,MODIFIED1,759,259,363.474,2000,1,1574
M2014,1,18,762,840,1,-1,MODIFIED1,1047,342,573.785,2000,0,2000
M2014,1,19,909,772,1,-1,MODIFIED1,1156,622,288.979,2000,0,2011
M2014,1,20,1123,419,1,-1,MODIFIED1,858,585,312.7,2000,0,2010
M2014,1,21,1063,649,1,-1,MODIFIED1,1055,812,163.196,2000,0,2005
M2014,1,22,1034,469,1,-1,MODIFIED1,1339,714,391.216,2000,0,2004
M2014,1,23,1305,473,1,-1,MODIFIED1,1350,415,73.4098,2000,0,2003
M2014,1,24,955,773,1,-1,MODIFIED1,1343,715,392.311,2000,0,2012
M2014,1,25,892,544,1,-1,MODIFIED1,1322,415,448.933,2000,0,2002
M2014,1,26,1252,430,1,-1,MODIFIED1,1280,712,283.387,2000,1,1376
M2014,1,27,1263,376,1,-1,MODIFIED1,1093,478,198.252,2000,0,2009
M2014,1,28,1140,619,1,-1,MODIFIED1,862,287,433.022,2000,0,2009
M2014,1,29,851,711,1,-1,MODIFIED1,1156,343,477.963,2000,0,2001
M2014,1,30,1223,799,1,-1,MODIFIED1,1142,643,175.775,2000,0,2011
M2014,2,1,972,982,1,-1,MODIFIED2,684,421,630.607,2000,0,2007
M2014,2,2,895,550,1,-1,MODIFIED2,566,697,360.347,2000,0,2007
M2014,2,3,709,509,1,-1,MODIFIED2,863,740,277.627,2000,1,1404
M2014,2,4,851,328,1,-1,MODIFIED2,949,452,158.051,2000,0,2012
M2014,2,5,881,627,1,-1,MODIFIED2,649,437,299.873,2000,0,2005
M2014,2,6,693,648,1,-1,MODIFIED2,934,342,389.509,2000,1,1909
M2014,2,7,924,720,1,-1,MODIFIED2,634,350,470.106,2000,0,2000
M2014,2,8,777,826,1,-1,MODIFIED2,889,508,337.147,2000,0,2012
M2014,2,9,887,644,1,-1,MODIFIED2,607,610,282.057,2000,0,2012
M2014,2,10,1212,455,1,-1,MODIFIED2,898,537,324.53,2000,0,2002
M2014,2,11,878,786,1,-1,MODIFIED2,744,794,134.239,2000,0,2009
M2014,2,12,776,421,1,-1,MODIFIED2,882,528,150.615,2000,1,1905
M2014,2,13,881,539,1,-1,MODIFIED2,1058,285,309.588,2000,0,2006
M2014,2,14,868,780,1,-1,MODIFIED2,946,563,230.593,2000,0,2000
M2014,2,15,932,532,1,-1,MODIFIED2,661,470,278.002,2000,0,2009
M2014,2,16,906,592,1,-1,MODIFIED2,777,746,200.891,2000,0,2012
M2014,2,17,901,734,1,-1,MODIFIED2,865,460,276.355,2000,1,812
M2014,2,18,860,630,1,-1,MODIFIED2,713,718,171.327,2000,0,2009
M2014,2,19,771,379,1,-1,MODIFIED2,996,618,328.247,2000,1,1805
M2014,2,20,987,446,1,-1,MODIFIED2,1201,399,219.1,2000,0,2003
M2014,2,21,727,756,1,-1,MODIFIED2,902,376,418.36,2000,1,1006
M2014,2,22,891,717,1,-1,MODIFIED2,651,540,298.21,2000,0,2006
M2014,2,23,792,585,1,-1,MODIFIED2,856,759,185.397,2000,1,1793
M2014,2,24,846,309,1,-1,MODIFIED2,659,533,291.796,2000,0,2003
M2014,2,25,765,603,1,-1,MODIFIED2,699,830,236.4,2000,0,2007
M2014,2,26,675,292,1,-1,MODIFIED2,907,614,396.873,2000,0,2000
M2014,2,27,852,452,1,-1,MODIFIED2,1125,408,276.523,2000,0,2007
M2014,2,28,1040,650,1,-1,MODIFIED2,1122,708,100.439,2000,0,2002
M2014,2,29,1104,351,1,-1,MODIFIED2,1219,424,136.213,2000,0,2005
M2014,2,30,1083,671,1,-1,MODIFIED2,925,486,243.288,2000,0,2010
M2014,3,1,973,990,1,-1,MODIFIED3,985,838,152.473,2000,0,2003
M2014,3,2,450,179,1,-1,MODIFIED3,787,613,549.477,2000,0,2003
M2014,3,3,692,330,1,-1,MODIFIED3,1027,793,571.484,2000,0,2011
M2014,3,4,831,285,1,-1,MODIFIED3,1327,788,706.417,2000,0,2004
M2014,3,5,1274,266,1,-1,MODIFIED3,1254,497,231.864,2000,1,1978
M2014,3,6,1253,588,1,-1,MODIFIED3,958,546,297.975,2000,0,2009
M2014,3,7,1054,771,1,-1,MODIFIED3,742,754,312.463,2000,0,2012
M2014,3,8,798,534,1,-1,MODIFIED3,1016,632,239.015,2000,0,2012
M2014,3,9,1007,391,1,-1,MODIFIED3,1238,431,234.438,2000,0,2000
M2014,3,10,1224,589,1,-1,MODIFIED3,939,409,337.083,2000,0,2002
M2014,3,11,977,1029,1,-1,MODIFIED3,933,709,323.011,2000,1,562
M2014,3,12,945,361,1,-1,MODIFIED3,1233,725,464.155,2000,1,2005
M2014,3,13,1237,338,1,-1,MODIFIED3,966,588,368.702,2000,1,1789
M2014,3,14,976,492,1,-1,MODIFIED3,773,358,243.239,2000,0,2004
M2014,3,15,778,703,1,-1,MODIFIED3,811,656,57.4282,2000,0,2003
M2014,3,16,665,418,1,-1,MODIFIED3,591,451,81.0247,2000,0,2006
M2014,3,17,557,653,1,-1,MODIFIED3,875,354,436.492,2000,1,1572
M2014,3,18,871,714,1,-1,MODIFIED3,660,563,259.465,2000,0,2000
M2014,3,19,786,640,1,-1,MODIFIED3,947,476,229.819,2000,1,1740
M2014,3,20,942,588,1,-1,MODIFIED3,908,773,188.098,2000,0,2004
M2014,3,21,717,367,1,-1,MODIFIED3,867,476,185.421,2000,0,2012
M2014,3,22,834,561,1,-1,MODIFIED3,1149,372,367.35,2000,1,1680
M2014,3,23,1148,690,1,-1,MODIFIED3,1054,657,99.6243,2000,0,2006
M2014,3,24,1000,376,1,-1,MODIFIED3,867,423,141.06,2000,1,1896
M2014,3,25,884,652,1,-1,MODIFIED3,1164,465,336.703,2000,1,1576
M2014,3,26,1150,606,1,-1,MODIFIED3,890,587,260.693,2000,0,2009
M2014,3,27,898,626,1,-1,MODIFIED3,597,651,302.036,2000,0,2012
M2014,3,28,632,613,1,-1,MODIFIED3,869,524,253.16,2000,0,2002
M2014,3,29,857,547,1,-1,MODIFIED3,602,660,278.916,2000,0,2012
M2014,3,30,622,486,1,-1,MODIFIED3,876,539,259.471,2000,1,1720
M2014,4,1,954,988,1,-1,MODIFIED4,1209,373,665.77,2000,0,2001
M2014,4,2,1190,656,1,-1,MODIFIED4,1104,654,86.0233,2000,0,2007
M2014,4,3,1117,502,1,-1,MODIFIED4,1115,355,147.014,2000,1,1145
M2014,4,4,1104,707,1,-1,MODIFIED4,1345,547,289.277,2000,0,2009
M2014,4,5,1388,516,1,-1,MODIFIED4,1070,668,352.46,2000,1,1849
M2014,4,6,1066,424,1,-1,MODIFIED4,806,525,278.928,2000,1,1249
M2014,4,7,804,546,1,-1,MODIFIED4,563,701,286.541,2000,0,2000
M2014,4,8,482,432,1,-1,MODIFIED4,848,792,513.377,2000,0,2001
M2014,4,9,839,233,1,-1,MODIFIED4,1031,554,374.039,2000,1,1384
M2014,4,10,1033,542,1,-1,MODIFIED4,1013,254,288.694,2000,1,801
M2014,4,11,1000,841,1,-1,MODIFIED4,715,292,618.568,2000,0,2006
M2014,4,12,706,759,1,-1,MODIFIED4,563,551,252.414,2000,1,1308
M2014,4,13,577,524,1,-1,MODIFIED4,830,414,275.879,2000,1,1043
M2014,4,14,825,677,1,-1,MODIFIED4,706,686,119.34,2000,1,1203
M2014,4,15,689,397,1,-1,MODIFIED4,762,392,73.171,2000,1,1113
M2014,4,16,752,677,1,-1,MODIFIED4,586,634,171.479,2000,1,1436
M2014,4,17,593,449,1,-1,MODIFIED4,817,443,224.08,2000,0,2000
M2014,4,18,814,663,1,-1,MODIFIED4,1110,379,410.21,2000,1,1451
M2014,4,19,1104,720,1,-1,MODIFIED4,830,271,526.001,2000,1,799
M2014,4,20,840,810,1,-1,MODIFIED4,1079,438,442.159,2000,0,2002
M2014,4,21,1037,570,1,-1,MODIFIED4,1031,734,164.11,2000,1,1394
M2014,4,22,1018,338,1,-1,MODIFIED4,868,483,208.626,2000,0,2000
M2014,4,23,927,582,1,-1,MODIFIED4,637,674,304.243,2000,1,1239
M2014,4,24,620,407,1,-1,MODIFIED4,892,516,293.027,2000,1,1275
M2014,4,25,889,551,1,-1,MODIFIED4,1011,241,333.143,2000,1,1037
M2014,4,26,996,847,1,-1,MODIFIED4,770,420,483.12,2000,1,1379
M2014,4,27,768,652,1,-1,MODIFIED4,623,681,147.872,2000,1,1419
M2014,4,28,607,387,1,-1,MODIFIED4,735,403,128.996,2000,1,1562
M2014,4,29,719,686,1,-1,MODIFIED4,766,701,49.3356,2000,1,1293
M2014,4,30,750,388,1,-1,MODIFIED4,615,442,145.399,2000,1,1048
M2014,5,1,954,971,1,-1,MODIFIED5,732,344,665.141,2000,0,2001
M2014,5,2,747,697,1,-1,MODIFIED5,1020,428,383.262,2000,1,1231
M2014,5,3,1007,648,1,-1,MODIFIED5,796,628,211.946,2000,1,1102
M2014,5,4,805,466,1,-1,MODIFIED5,1028,819,417.538,2000,1,1197
M2014,5,5,1024,242,1,-1,MODIFIED5,1291,674,507.851,2000,1,1370
M2014,5,6,1276,396,1,-1,MODIFIED5,1105,438,176.082,2000,1,878
M2014,5,7,1094,649,1,-1,MODIFIED5,805,448,352.026,2000,1,1005
M2014,5,8,800,640,1,-1,MODIFIED5,1074,314,425.854,2000,1,1378
M2014,5,9,1066,748,1,-1,MODIFIED5,932,579,215.678,2000,1,826
M2014,5,10,939,498,1,-1,MODIFIED5,687,406,268.269,2000,1,982
M2014,5,11,686,679,1,-1,MODIFIED5,943,249,500.948,2000,1,929
M2014,5,12,933,824,1,-1,MODIFIED5,999,543,288.647,2000,1,893
M2014,5,13,986,540,1,-1,MODIFIED5,1296,588,313.694,2000,1,903
M2014,5,14,1285,486,1,-1,MODIFIED5,1002,531,286.555,2000,1,613
M2014,5,15,1014,551,1,-1,MODIFIED5,1252,366,301.445,2000,1,1159
M2014,5,16,1239,708,1,-1,MODIFIED5,1027,564,256.281,2000,1,980
M2014,5,17,1012,519,1,-1,MODIFIED5,1231,345,279.709,2000,1,1330
M2014,5,18,1243,740,1,-1,MODIFIED5,985,515,342.329,2000,0,2007
M2014,5,19,998,607,1,-1,MODIFIED5,1261,397,336.555,2000,1,1062
M2014,5,20,1252,667,1,-1,MODIFIED5,1073,631,182.584,2000,1,1568
M2014,5,21,1062,436,1,-1,MODIFIED5,774,603,332.916,2000,1,1617
M2014,5,22,769,484,1,-1,MODIFIED5,853,313,190.518,2000,1,1951
M2014,5,23,843,783,1,-1,MODIFIED5,597,470,398.102,2000,1,1172
M2014,5,24,605,625,1,-1,MODIFIED5,724,742,166.883,2000,1,1421
M2014,5,25,719,357,1,-1,MODIFIED5,1008,839,562.001,2000,1,1261
