subnum,trial,step,startx,starty,xtrans,ytrans,label,targx,targy,dist,timeout,hit,rt
052,0,1,972,981,1,1,normal,666,600,488.669,2000,1,1129
052,0,2,656,592,1,1,normal,872,382,301.257,2000,1,1633
052,0,3,880,379,1,1,normal,747,655,306.374,2000,1,820
052,0,4,762,667,1,1,normal,614,386,317.593,2000,1,453
052,0,5,615,397,1,1,normal,911,340,301.438,2000,1,654
052,0,6,929,343,1,1,normal,612,315,318.234,2000,1,520
052,0,7,627,326,1,1,normal,602,615,290.079,2000,1,462
052,0,8,603,624,1,1,normal,757,358,307.363,2000,1,796
052,0,9,763,353,1,1,normal,1056,373,293.682,2000,1,415
052,0,10,1060,391,1,1,normal,1352,425,293.973,2000,1,571
052,0,11,1361,438,1,1,normal,1052,449,309.196,2000,1,509
052,0,12,1055,466,1,1,normal,760,385,305.918,2000,1,547
052,0,13,740,393,1,1,normal,1034,264,321.056,2000,1,351
052,0,14,1023,257,1,1,normal,1250,473,313.345,2000,1,534
052,0,15,1253,485,1,1,normal,976,597,298.786,2000,1,498
052,0,16,975,606,1,1,normal,1273,640,299.933,2000,1,551
052,0,17,1269,647,1,1,normal,1050,440,301.347,2000,1,475
052,0,18,1059,450,1,1,normal,1346,490,289.774,2000,1,616
052,0,19,1356,492,1,1,normal,1237,769,301.48,2000,1,589
052,0,20,1243,756,1,1,normal,1146,484,288.778,2000,1,529
052,0,21,1150,492,1,1,normal,900,312,308.058,2000,1,565
052,0,22,884,316,1,1,normal,1131,503,309.803,2000,1,520
052,0,23,1124,517,1,1,normal,1028,785,284.675,2000,1,498
052,0,24,1027,790,1,1,normal,933,500,304.854,2000,1,524
052,0,25,945,508,1,1,normal,1188,342,294.287,2000,1,439
052,0,26,1198,336,1,1,normal,1267,631,302.962,2000,1,288
052,0,27,1270,672,1,1,normal,1065,409,333.458,2000,1,608
052,0,28,1071,410,1,1,normal,804,260,306.25,2000,1,326
052,0,29,801,275,1,1,normal,833,559,285.797,2000,1,508
052,0,30,846,563,1,1,normal,1058,757,287.367,2000,1,448
052,1,1,984,992,1,-1,MODIFIED1,877,251,748.686,2000,1,1527
052,1,2,884,740,1,-1,MODIFIED1,594,350,486.004,2000,0,2004
052,1,3,696,693,1,-1,MODIFIED1,874,243,483.926,2000,0,2002
052,1,4,703,988,1,-1,MODIFIED1,1079,461,647.383,2000,1,1688
052,1,5,1069,619,1,-1,MODIFIED1,887,691,195.724,2000,0,2004
052,1,6,968,349,1,-1,MODIFIED1,839,395,136.956,2000,1,1661
052,1,7,830,678,1,-1,MODIFIED1,564,515,311.97,2000,0,2006
052,1,8,1491,520,1,-1,MODIFIED1,834,645,668.785,2000,0,2000
052,1,9,1141,600,1,-1,MODIFIED1,581,806,596.688,2000,0,2004
052,1,10,773,310,1,-1,MODIFIED1,880,824,525.019,2000,0,2007
052,1,11,845,252,1,-1,MODIFIED1,597,724,533.187,2000,0,2012
052,1,12,843,309,1,-1,MODIFIED1,886,641,334.773,2000,0,2009
052,1,13,875,351,1,-1,MODIFIED1,681,422,206.584,2000,0,2006
052,1,14,799,695,1,-1,MODIFIED1,867,657,77.8974,2000,1,1098
052,1,15,860,440,1,-1,MODIFIED1,635,467,226.614,2000,0,2004
