subnum,trial,step,xtrans,ytrans,label,startx,starty,time,xpos,ypos,step,targx,targy,dist,timeout,hit
012,0,1,1,1,normal,961,966,5110,961,966,1,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5125,961,966,2,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5138,961,966,3,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5151,961,966,4,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5163,961,966,5,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5174,961,966,6,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5187,961,966,7,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5200,961,966,8,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5215,961,966,9,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5227,961,966,10,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5239,961,966,11,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5253,961,966,12,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5266,961,966,13,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5279,961,966,14,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5292,961,966,15,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5305,961,966,16,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5319,961,966,17,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5333,961,966,18,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5346,961,966,19,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5359,961,966,20,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5372,961,966,21,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5385,961,966,22,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5398,961,966,23,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5412,961,966,24,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5424,961,966,25,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5437,961,966,26,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5450,961,965,27,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5463,966,965,28,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5476,967,965,29,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5489,968,965,30,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5503,972,967,31,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5516,972,967,32,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5529,983,968,33,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5542,987,968,34,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5556,989,968,35,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5568,992,968,36,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5581,992,967,37,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5594,992,967,38,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5607,992,967,39,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5621,992,965,40,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5634,992,963,41,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5648,992,959,42,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5661,994,953,43,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5674,996,948,44,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5687,1004,935,45,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5700,1010,927,46,1219,689,378.541,2000,0
012,0,1,1,1,normal,961,966,5713,1020,911,47,1219,689,378.541,2000,0
