subnum,trial,step,startx,starty,xtrans,ytrans,label,targx,targy,dist,timeout,hit,rt
012,0,1,961,966,1,1,normal,1219,689,378.541,2000,1,1175
012,0,2,1227,699,1,1,normal,932,605,309.614,2000,1,720
012,0,3,921,604,1,1,normal,677,447,290.147,2000,1,645
012,0,4,673,463,1,1,normal,683,747,284.176,2000,1,659
012,0,5,683,731,1,1,normal,862,506,287.517,2000,1,481
012,0,6,865,518,1,1,normal,653,721,293.518,2000,1,517
012,0,7,661,729,1,1,normal,952,748,291.62,2000,1,361
012,0,8,961,744,1,1,normal,1120,500,291.234,2000,1,501
012,0,9,1126,503,1,1,normal,1290,747,293.993,2000,1,551
012,0,10,1278,759,1,1,normal,1130,493,304.401,2000,1,682
012,0,11,1131,507,1,1,normal,847,396,304.921,2000,1,549
012,0,12,859,398,1,1,normal,1128,500,287.689,2000,1,472
012,0,13,1118,501,1,1,normal,892,685,291.431,2000,1,512
012,0,14,906,687,1,1,normal,597,632,313.857,2000,1,483
012,0,15,609,619,1,1,normal,592,332,287.503,2000,1,972
012,0,16,606,342,1,1,normal,886,271,288.862,2000,1,502
012,0,17,893,269,1,1,normal,1014,543,299.528,2000,1,340
012,0,18,1021,539,1,1,normal,1023,243,296.007,2000,1,920
012,0,19,1024,260,1,1,normal,1253,435,288.212,2000,1,704
012,0,20,1259,442,1,1,normal,1158,720,295.779,2000,1,301
012,0,21,1161,711,1,1,normal,1244,432,291.084,2000,1,531
012,0,22,1251,445,1,1,normal,991,594,299.668,2000,1,571
012,0,23,994,597,1,1,normal,1291,596,297.002,2000,1,472
012,0,24,1296,602,1,1,normal,1031,447,307.002,2000,1,566
012,0,25,1041,439,1,1,normal,1106,737,305.007,2000,1,415
012,0,26,1095,740,1,1,normal,1164,443,304.91,2000,1,527
012,0,27,1155,430,1,1,normal,894,311,286.848,2000,1,451
012,0,28,898,304,1,1,normal,845,607,307.6,2000,1,626
012,0,29,863,609,1,1,normal,615,800,313.026,2000,1,713
012,0,30,624,812,1,1,normal,870,642,299.025,2000,1,602
012,1,1,951,984,1,-1,MODIFIED1,1044,827,182.477,2000,0,2005
012,1,2,647,369,1,-1,MODIFIED1,1042,527,425.428,2000,0,2008
012,1,3,1011,449,1,-1,MODIFIED1,1276,715,375.474,2000,0,2002
012,1,4,1304,419,1,-1,MODIFIED1,1283,415,21.3776,2000,1,1012
012,1,5,1291,663,1,-1,MODIFIED1,1111,662,180.003,2000,0,2009
012,1,6,1085,415,1,-1,MODIFIED1,812,685,383.965,2000,1,1982
012,1,7,799,405,1,-1,MODIFIED1,1111,709,435.615,2000,0,2004
012,1,8,1120,404,1,-1,MODIFIED1,1161,413,41.9762,2000,1,970
012,1,9,1158,652,1,-1,MODIFIED1,1092,705,84.6463,2000,1,641
012,1,10,1081,386,1,-1,MODIFIED1,922,458,174.542,2000,1,1214
012,1,11,932,625,1,-1,MODIFIED1,690,649,243.187,2000,1,755
012,1,12,700,425,1,-1,MODIFIED1,786,364,105.437,2000,1,931
012,1,13,774,718,1,-1,MODIFIED1,877,650,123.422,2000,1,1046
012,1,14,876,414,1,-1,MODIFIED1,1175,680,400.196,2000,1,983
012,1,15,1176,411,1,-1,MODIFIED1,1316,415,140.057,2000,1,1399
012,1,16,1310,661,1,-1,MODIFIED1,1020,466,349.464,2000,1,749
012,1,17,997,606,1,-1,MODIFIED1,879,730,171.172,2000,1,1032
012,1,18,878,333,1,-1,MODIFIED1,580,744,507.666,2000,1,1578
012,1,19,587,344,1,-1,MODIFIED1,876,697,456.213,2000,1,353
