subnum,trial,step,xtrans,ytrans,label,startx,starty,time,xpos,ypos,step,targx,targy,dist,timeout,hit
025,0,1,1,1,normal,968,967,1563,968,967,1,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1578,968,967,2,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1591,968,967,3,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1604,968,967,4,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1617,968,967,5,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1630,968,967,6,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1644,967,967,7,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1657,967,967,8,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1671,967,967,9,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1684,967,967,10,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1696,967,967,11,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1710,967,967,12,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1723,967,967,13,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1737,967,967,14,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1751,967,967,15,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1765,967,967,16,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1779,967,967,17,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1793,967,967,18,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1806,967,967,19,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1819,967,967,20,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1833,967,967,21,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1846,967,959,22,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1859,967,951,23,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1872,967,937,24,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1885,963,905,25,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1898,952,862,26,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1912,920,753,27,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1926,883,662,28,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1939,866,631,29,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1952,865,630,30,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1965,865,630,31,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1979,865,630,32,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,1993,865,630,33,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,2006,865,630,34,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,2019,864,630,35,753,757,300.541,2000,0
025,0,1,1,1,normal,968,967,2032,862,630,36,753,757,300.541,2000,0
