subnum,trial,step,startx,starty,xtrans,ytrans,label,targx,targy,dist,timeout,hit,rt
025,0,1,968,967,1,1,normal,753,757,300.541,2000,1,1174
025,0,2,753,753,1,1,normal,765,457,296.243,2000,1,883
025,0,3,757,470,1,1,normal,1012,287,313.869,2000,1,1278
025,0,4,1003,282,1,1,normal,1124,566,308.702,2000,1,342
025,0,5,1143,561,1,1,normal,1199,275,291.431,2000,1,715
025,0,6,1185,278,1,1,normal,943,431,286.309,2000,1,526
025,0,7,936,436,1,1,normal,1242,450,306.32,2000,1,585
025,0,8,1243,465,1,1,normal,1061,690,289.394,2000,1,364
025,0,9,1068,679,1,1,normal,1347,781,297.061,2000,1,806
025,0,10,1339,770,1,1,normal,1104,605,287.141,2000,1,353
025,0,11,1092,621,1,1,normal,1180,315,318.402,2000,1,704
025,0,12,1177,326,1,1,normal,1016,566,289,2000,1,461
025,0,13,1027,577,1,1,normal,758,719,304.179,2000,1,492
025,0,14,771,721,1,1,normal,1028,589,288.917,2000,1,480
025,0,15,1020,580,1,1,normal,1230,811,312.187,2000,1,873
025,0,16,1223,795,1,1,normal,1187,514,283.297,2000,1,666
025,0,17,1177,522,1,1,normal,1275,801,295.711,2000,1,374
025,0,18,1277,784,1,1,normal,1346,509,283.524,2000,1,662
025,0,19,1334,519,1,1,normal,1158,276,300.042,2000,1,503
025,0,20,1174,277,1,1,normal,1040,551,305.011,2000,1,568
025,0,21,1045,534,1,1,normal,1205,301,282.646,2000,1,303
025,0,22,1209,286,1,1,normal,1003,523,314.014,2000,1,739
025,0,23,1011,508,1,1,normal,721,421,302.769,2000,1,356
025,0,24,709,415,1,1,normal,886,672,312.054,2000,1,609
025,0,25,902,662,1,1,normal,1150,814,290.875,2000,1,538
025,0,26,1151,832,1,1,normal,883,676,310.097,2000,1,672
025,0,27,872,683,1,1,normal,1024,411,311.589,2000,1,596
025,0,28,1024,417,1,1,normal,1272,242,303.528,2000,1,352
025,0,29,1306,244,1,1,normal,1007,384,330.153,2000,1,642
025,0,30,1009,380,1,1,normal,1246,567,301.891,2000,1,599
025,1,1,1002,977,1,-1,MODIFIED1,693,401,653.649,2000,1,847
025,1,2,703,666,1,-1,MODIFIED1,966,276,470.392,2000,0,2010
025,1,3,992,1079,1,-1,MODIFIED1,1141,520,578.517,2000,0,2003
025,1,4,1141,656,1,-1,MODIFIED1,1348,738,222.65,2000,0,2011
025,1,5,1271,481,1,-1,MODIFIED1,1134,527,144.516,2000,1,1796
025,1,6,1147,530,1,-1,MODIFIED1,1126,827,297.741,2000,1,1639
025,1,7,1116,238,1,-1,MODIFIED1,1314,593,406.484,2000,1,1465
025,1,8,1310,507,1,-1,MODIFIED1,1136,834,370.412,2000,1,712
025,1,9,1132,244,1,-1,MODIFIED1,1298,582,376.563,2000,1,1804
025,1,10,1298,495,1,-1,MODIFIED1,1014,677,337.313,2000,0,2011
025,1,11,1020,425,1,-1,MODIFIED1,1303,755,434.729,2000,1,1319
025,1,12,1306,310,1,-1,MODIFIED1,1044,604,393.802,2000,0,2003
025,1,13,1057,492,1,-1,MODIFIED1,912,335,213.715,2000,0,2000
025,1,14,912,720,1,-1,MODIFIED1,772,600,184.391,2000,1,1355
025,1,15,765,482,1,-1,MODIFIED1,1070,638,342.58,2000,1,1617
025,1,16,1065,458,1,-1,MODIFIED1,793,523,279.659,2000,1,913
025,1,17,807,547,1,-1,MODIFIED1,851,817,273.562,2000,0,2001
025,1,18,886,214,1,-1,MODIFIED1,689,564,401.633,2000,1,1235
025,1,19,687,497,1,-1,MODIFIED1,963,686,334.51,2000,1,1443
025,1,20,952,441,1,-1,MODIFIED1,699,545,273.542,2000,1,663
025,1,21,702,532,1,-1,MODIFIED1,998,515,296.488,2000,1,1347
025,1,22,988,563,1,-1,MODIFIED1,764,327,325.38,2000,1,1005
025,1,23,745,746,1,-1,MODIFIED1,702,620,133.135,2000,1,1366
025,1,24,713,455,1,-1,MODIFIED1,620,332,154.201,2000,1,1639
025,1,25,602,744,1,-1,MODIFIED1,919,360,497.941,2000,1,995
025,1,26,901,713,1,-1,MODIFIED1,1215,314,507.737,2000,1,1393
025,1,27,1222,773,1,-1,MODIFIED1,919,365,508.206,2000,1,1121
025,1,28,907,713,1,-1,MODIFIED1,619,355,459.465,2000,0,2008
025,1,29,625,660,1,-1,MODIFIED1,722,637,99.6895,2000,1,1471
025,1,30,729,415,1,-1,MODIFIED1,1012,711,409.518,2000,1,1046
025,2,1,969,988,1,-1,MODIFIED2,788,293,718.182,2000,1,886
025,2,2,789,778,1,-1,MODIFIED2,596,523,319.803,2000,1,1707
025,2,3,579,571,1,-1,MODIFIED2,882,614,306.036,2000,1,1154
025,2,4,896,469,1,-1,MODIFIED2,867,314,157.69,2000,1,704
025,2,5,872,776,1,-1,MODIFIED2,762,595,211.804,2000,1,1178
025,2,6,750,504,1,-1,MODIFIED2,1044,698,352.239,2000,1,665
025,2,7,1059,385,1,-1,MODIFIED2,794,532,303.041,2000,1,810
025,2,8,788,559,1,-1,MODIFIED2,890,248,327.3,2000,1,808
025,2,9,908,839,1,-1,MODIFIED2,666,447,460.682,2000,0,2002
025,2,10,683,553,1,-1,MODIFIED2,955,368,328.951,2000,1,1071
025,2,11,941,702,1,-1,MODIFIED2,856,651,99.1262,2000,1,1330
025,2,12,856,444,1,-1,MODIFIED2,1155,624,349,2000,1,707
025,2,13,1162,449,1,-1,MODIFIED2,856,651,366.661,2000,0,2004
025,2,14,832,460,1,-1,MODIFIED2,820,353,107.671,2000,1,1379
025,2,15,810,710,1,-1,MODIFIED2,962,617,178.194,2000,1,956
025,2,16,955,475,1,-1,MODIFIED2,671,690,356.204,2000,0,2000
025,2,17,675,361,1,-1,MODIFIED2,959,775,502.048,2000,0,2004
025,2,18,959,223,1,-1,MODIFIED2,1176,568,407.571,2000,1,1588
025,2,19,1172,515,1,-1,MODIFIED2,1307,298,255.566,2000,1,604
025,2,20,1321,803,1,-1,MODIFIED2,1210,582,247.31,2000,1,1154
025,2,21,1220,504,1,-1,MODIFIED2,1167,285,225.322,2000,1,807
025,2,22,1171,779,1,-1,MODIFIED2,892,405,466.602,2000,1,1310
025,2,23,894,678,1,-1,MODIFIED2,1081,637,191.442,2000,1,1171
025,2,24,1090,445,1,-1,MODIFIED2,946,369,162.825,2000,1,1020
025,2,25,929,714,1,-1,MODIFIED2,986,667,73.8783,2000,1,1290
025,2,26,997,401,1,-1,MODIFIED2,858,395,139.129,2000,1,711
025,2,27,849,696,1,-1,MODIFIED2,576,497,337.831,2000,1,1605
025,2,28,592,591,1,-1,MODIFIED2,820,323,351.864,2000,1,1013
025,2,29,802,763,1,-1,MODIFIED2,893,614,174.591,2000,1,1307
025,2,30,900,482,1,-1,MODIFIED2,1124,422,231.897,2000,1,1686
025,3,1,927,972,1,-1,MODIFIED3,660,527,518.955,2000,0,2009
025,3,2,670,660,1,-1,MODIFIED3,885,329,394.697,2000,1,1518
025,3,3,875,742,1,-1,MODIFIED3,1009,602,193.794,2000,1,789
025,3,4,994,466,1,-1,MODIFIED3,719,525,281.258,2000,1,1099
025,3,5,703,532,1,-1,MODIFIED3,984,384,317.593,2000,1,1192
025,3,6,974,694,1,-1,MODIFIED3,692,452,371.602,2000,1,1837
025,3,7,693,622,1,-1,MODIFIED3,974,351,390.387,2000,1,1209
025,3,8,983,746,1,-1,MODIFIED3,684,425,438.682,2000,1,1080
025,3,9,674,645,1,-1,MODIFIED3,951,289,451.071,2000,1,1630
025,3,10,965,791,1,-1,MODIFIED3,791,543,302.952,2000,1,1812
025,3,11,798,543,1,-1,MODIFIED3,595,315,305.275,2000,1,1168
025,3,12,611,764,1,-1,MODIFIED3,658,609,161.969,2000,1,994
025,3,13,645,475,1,-1,MODIFIED3,946,526,305.29,2000,1,1808
025,3,14,939,544,1,-1,MODIFIED3,651,579,290.119,2000,0,2009
025,3,15,648,557,1,-1,MODIFIED3,923,705,312.296,2000,1,1393
025,3,16,907,376,1,-1,MODIFIED3,1223,696,449.729,2000,1,1594
025,3,17,1220,387,1,-1,MODIFIED3,923,690,424.285,2000,1,888
025,3,18,908,395,1,-1,MODIFIED3,874,394,34.0147,2000,1,1563
025,3,19,870,672,1,-1,MODIFIED3,1010,662,140.357,2000,1,882
025,3,20,1006,401,1,-1,MODIFIED3,731,551,313.249,2000,1,447
025,3,21,700,554,1,-1,MODIFIED3,916,787,317.718,2000,1,1400
025,3,22,931,301,1,-1,MODIFIED3,1168,625,401.429,2000,1,1435
025,3,23,1152,467,1,-1,MODIFIED3,1246,335,162.049,2000,1,1095
025,3,24,1243,752,1,-1,MODIFIED3,1358,613,180.405,2000,1,768
025,3,25,1363,440,1,-1,MODIFIED3,1067,542,313.081,2000,1,877
025,3,26,1079,569,1,-1,MODIFIED3,957,262,330.353,2000,1,766
025,3,27,975,894,1,-1,MODIFIED3,1253,309,647.695,2000,1,1258
025,3,28,1255,804,1,-1,MODIFIED3,1176,599,219.695,2000,1,1920
025,3,29,1186,492,1,-1,MODIFIED3,1274,315,197.669,2000,1,1183
025,3,30,1290,765,1,-1,MODIFIED3,990,410,464.785,2000,1,1251
025,4,1,951,991,1,-1,MODIFIED4,1111,280,728.78,2000,1,884
025,4,2,1090,777,1,-1,MODIFIED4,814,325,529.604,2000,1,1154
025,4,3,817,729,1,-1,MODIFIED4,976,578,219.276,2000,1,1047
025,4,4,983,513,1,-1,MODIFIED4,1162,343,246.862,2000,1,1781
025,4,5,1165,728,1,-1,MODIFIED4,1316,601,197.307,2000,1,1075
025,4,6,1306,488,1,-1,MODIFIED4,1037,713,350.694,2000,1,1487
025,4,7,1025,358,1,-1,MODIFIED4,1045,413,58.5235,2000,1,879
025,4,8,1051,679,1,-1,MODIFIED4,819,610,242.043,2000,1,1204
025,4,9,805,471,1,-1,MODIFIED4,1019,387,229.896,2000,1,1132
025,4,10,1002,688,1,-1,MODIFIED4,728,459,357.095,2000,1,1076
025,4,11,732,620,1,-1,MODIFIED4,1005,343,388.919,2000,1,606
025,4,12,1006,717,1,-1,MODIFIED4,713,410,424.38,2000,1,1178
025,4,13,722,679,1,-1,MODIFIED4,995,310,459.01,2000,1,1316
025,4,14,984,768,1,-1,MODIFIED4,792,530,305.791,2000,1,1573
025,4,15,798,558,1,-1,MODIFIED4,940,791,272.861,2000,1,1184
025,4,16,922,290,1,-1,MODIFIED4,1180,612,412.611,2000,1,990
025,4,17,1194,487,1,-1,MODIFIED4,1286,331,181.108,2000,1,1620
025,4,18,1278,746,1,-1,MODIFIED4,994,260,562.896,2000,1,647
025,4,19,1000,824,1,-1,MODIFIED4,704,334,572.465,2000,0,2007
025,4,20,704,688,1,-1,MODIFIED4,998,394,415.779,2000,1,832
025,4,21,987,700,1,-1,MODIFIED4,1281,294,501.27,2000,1,1754
025,4,22,1280,790,1,-1,MODIFIED4,984,336,541.97,2000,1,937
025,4,23,1000,753,1,-1,MODIFIED4,1229,509,334.63,2000,1,1195
025,4,24,1212,560,1,-1,MODIFIED4,930,485,291.803,2000,1,1095
025,4,25,917,612,1,-1,MODIFIED4,1120,717,228.548,2000,1,1100
025,4,26,1125,374,1,-1,MODIFIED4,898,515,267.226,2000,1,868
025,4,27,892,564,1,-1,MODIFIED4,1196,479,315.66,2000,1,1114
025,4,28,1191,591,1,-1,MODIFIED4,1029,728,212.163,2000,1,780
