subnum,trial,step,startx,starty,xtrans,ytrans,label,targx,targy,dist,timeout,hit,rt
047,0,1,980,968,1,1,normal,813,278,709.922,2000,1,670
047,0,2,829,247,1,1,normal,963,538,320.37,2000,1,868
047,0,3,959,538,1,1,normal,1078,261,301.48,2000,1,710
047,0,4,1071,277,1,1,normal,858,465,284.1,2000,1,457
047,0,5,860,451,1,1,normal,1137,355,293.164,2000,1,616
047,0,6,1131,342,1,1,normal,1073,648,311.448,2000,1,391
047,0,7,1079,640,1,1,normal,1334,500,290.904,2000,1,641
047,0,8,1338,505,1,1,normal,1103,309,306.008,2000,1,575
047,0,9,1096,307,1,1,normal,1001,591,299.468,2000,1,513
047,0,10,1013,590,1,1,normal,710,664,311.905,2000,1,626
047,0,11,715,669,1,1,normal,769,370,303.837,2000,1,669
047,0,12,777,359,1,1,normal,635,639,313.949,2000,1,653
047,0,13,646,645,1,1,normal,580,344,308.151,2000,1,342
047,0,14,576,332,1,1,normal,782,565,311.006,2000,1,781
047,0,15,796,573,1,1,normal,586,792,303.416,2000,1,390
047,0,16,596,800,1,1,normal,737,533,301.944,2000,1,364
047,0,17,733,525,1,1,normal,836,816,308.691,2000,1,597
047,0,18,838,819,1,1,normal,1099,672,299.55,2000,1,639
047,0,19,1100,686,1,1,normal,1286,438,310,2000,1,766
047,0,20,1294,441,1,1,normal,986,444,308.015,2000,1,574
047,0,21,982,457,1,1,normal,944,741,286.531,2000,1,794
047,0,22,944,760,1,1,normal,1223,631,307.379,2000,1,325
047,0,23,1250,634,1,1,normal,940,533,326.038,2000,1,778
047,0,24,947,544,1,1,normal,983,830,288.257,2000,1,617
047,0,25,992,847,1,1,normal,997,531,316.04,2000,1,325
047,0,26,978,500,1,1,normal,1293,480,315.634,2000,1,579
047,0,27,1296,485,1,1,normal,1032,332,305.131,2000,1,273
047,0,28,1016,342,1,1,normal,1331,307,316.938,2000,1,655
047,0,29,1326,322,1,1,normal,1031,314,295.108,2000,1,247
047,0,30,964,308,1,1,normal,738,252,232.835,2000,1,434
047,1,1,925,971,1,-1,MODIFIED1,745,330,665.794,2000,0,2010
047,1,2,158,0,1,-1,MODIFIED1,1044,311,938.998,2000,0,2009
047,1,3,1417,0,1,-1,MODIFIED1,1236,542,571.424,2000,0,2006
047,1,4,1822,0,1,-1,MODIFIED1,937,566,1050.51,2000,0,2002
047,1,5,787,23,1,-1,MODIFIED1,777,820,797.063,2000,0,2009
047,1,6,766,0,1,-1,MODIFIED1,870,535,545.015,2000,1,1911
047,1,7,883,404,1,-1,MODIFIED1,1163,599,341.211,2000,0,2006
047,1,8,779,1079,1,-1,MODIFIED1,971,368,736.468,2000,0,2006
047,1,9,969,399,1,-1,MODIFIED1,1223,531,286.252,2000,0,2000
047,1,10,1245,0,1,-1,MODIFIED1,1297,822,823.643,2000,0,2011
047,1,11,1350,913,1,-1,MODIFIED1,1007,744,382.374,2000,0,2011
047,1,12,850,863,1,-1,MODIFIED1,1174,495,490.306,2000,0,2002
047,1,13,1206,481,1,-1,MODIFIED1,1328,752,297.195,2000,0,2011
047,1,14,1323,480,1,-1,MODIFIED1,1163,502,161.505,2000,1,1611
047,1,15,1146,560,1,-1,MODIFIED1,886,616,265.962,2000,0,2004
047,1,16,955,40,1,-1,MODIFIED1,646,437,503.081,2000,0,2009
047,1,17,642,114,1,-1,MODIFIED1,801,694,601.399,2000,0,2000
047,1,18,790,319,1,-1,MODIFIED1,832,395,86.8332,2000,1,1134
047,1,19,842,671,1,-1,MODIFIED1,1131,374,414.403,2000,1,1227
047,1,20,1147,763,1,-1,MODIFIED1,1249,650,152.227,2000,1,1025
047,1,21,1231,423,1,-1,MODIFIED1,950,678,379.455,2000,0,2007
047,1,22,950,504,1,-1,MODIFIED1,1230,569,287.446,2000,0,2003
047,1,23,1512,426,1,-1,MODIFIED1,967,713,615.95,2000,0,2005
047,1,24,952,590,1,-1,MODIFIED1,678,632,277.2,2000,1,1516
047,1,25,655,464,1,-1,MODIFIED1,583,347,137.379,2000,1,1175
047,1,26,591,718,1,-1,MODIFIED1,607,646,73.7564,2000,1,1121
047,1,27,629,472,1,-1,MODIFIED1,874,510,247.929,2000,1,1090
047,1,28,890,557,1,-1,MODIFIED1,578,564,312.079,2000,1,1728
047,1,29,528,630,1,-1,MODIFIED1,816,381,380.716,2000,1,1459
047,1,30,821,707,1,-1,MODIFIED1,1110,321,482.2,2000,0,2013
047,2,1,977,974,1,-1,MODIFIED2,760,763,302.671,2000,0,2012
047,2,2,759,263,1,-1,MODIFIED2,803,466,207.714,2000,1,729
047,2,3,785,625,1,-1,MODIFIED2,1077,344,405.247,2000,0,2009
047,2,4,1100,675,1,-1,MODIFIED2,1103,643,32.1403,2000,0,2002
047,2,5,1219,595,1,-1,MODIFIED2,804,624,416.012,2000,1,1194
047,2,6,809,458,1,-1,MODIFIED2,1104,631,341.985,2000,1,1421
047,2,7,1107,428,1,-1,MODIFIED2,861,456,247.588,2000,1,1493
047,2,8,863,609,1,-1,MODIFIED2,1064,677,212.191,2000,0,2011
047,2,9,1071,45,1,-1,MODIFIED2,1330,814,811.444,2000,0,2011
047,2,10,1393,427,1,-1,MODIFIED2,1031,828,540.227,2000,0,2006
047,2,11,1027,208,1,-1,MODIFIED2,766,687,545.492,2000,1,1349
047,2,12,765,375,1,-1,MODIFIED2,1025,838,531.008,2000,1,1172
047,2,13,1006,246,1,-1,MODIFIED2,1320,783,622.065,2000,0,2010
047,2,14,1334,389,1,-1,MODIFIED2,1167,525,215.372,2000,1,1470
047,2,15,1177,543,1,-1,MODIFIED2,943,725,296.446,2000,1,1825
047,2,16,955,360,1,-1,MODIFIED2,693,560,329.612,2000,1,1397
047,2,17,701,539,1,-1,MODIFIED2,947,400,282.554,2000,1,1259
047,2,18,949,686,1,-1,MODIFIED2,652,344,452.96,2000,0,2006
047,2,19,700,719,1,-1,MODIFIED2,944,413,391.372,2000,1,1399
047,2,20,937,667,1,-1,MODIFIED2,826,689,113.159,2000,1,1321
047,2,21,830,405,1,-1,MODIFIED2,969,425,140.431,2000,0,2011
047,2,22,994,684,1,-1,MODIFIED2,1221,263,478.299,2000,1,1630
047,2,23,1225,814,1,-1,MODIFIED2,1295,553,270.224,2000,0,2000
047,2,24,1282,554,1,-1,MODIFIED2,1017,440,288.481,2000,1,1138
047,2,25,1002,638,1,-1,MODIFIED2,1284,578,288.312,2000,1,1046
047,2,26,1274,543,1,-1,MODIFIED2,1000,481,280.927,2000,0,2006
047,2,27,1014,786,1,-1,MODIFIED2,1143,745,135.359,2000,1,1346
047,2,28,1134,347,1,-1,MODIFIED2,845,775,516.435,2000,1,1537
047,2,29,859,314,1,-1,MODIFIED2,562,676,468.245,2000,0,2005
047,2,30,630,529,1,-1,MODIFIED2,841,566,214.22,2000,1,1134
047,3,1,991,976,1,-1,MODIFIED3,1259,517,531.512,2000,1,1982
047,3,2,1268,565,1,-1,MODIFIED3,1020,335,338.237,2000,0,2011
047,3,3,1016,780,1,-1,MODIFIED3,724,384,492.016,2000,0,2006
