subnum,trial,step,xtrans,ytrans,label,startx,starty,time,xpos,ypos,step,targx,targy,dist,timeout,hit
023,0,1,1,1,normal,969,982,4222,969,982,1,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4237,969,982,2,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4251,969,982,3,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4264,969,982,4,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4277,969,982,5,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4290,969,982,6,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4303,969,982,7,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4316,969,982,8,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4330,969,982,9,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4343,969,982,10,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4356,969,982,11,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4369,969,982,12,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4383,969,982,13,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4396,969,982,14,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4408,969,982,15,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4420,969,982,16,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4433,969,982,17,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4447,969,982,18,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4460,969,982,19,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4473,969,982,20,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4487,969,982,21,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4499,969,982,22,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4512,969,982,23,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4523,969,982,24,906,244,740.684,2000,0
023,0,1,1,1,normal,969,982,4537,969,982,25,906,244,740.684,2000,0
