subnum,trial,step,startx,starty,xtrans,ytrans,label,targx,targy,dist,timeout,hit,rt
051,0,1,942,997,1,1,normal,1050,826,202.25,2000,1,738
051,0,2,1041,842,1,1,normal,1314,683,315.927,2000,1,815
051,0,3,1319,692,1,1,normal,1114,458,311.096,2000,1,576
051,0,4,1113,473,1,1,normal,829,550,294.253,2000,1,547
051,0,5,830,567,1,1,normal,910,262,315.317,2000,1,554
051,0,6,922,250,1,1,normal,1157,433,297.849,2000,1,573
051,0,7,1152,442,1,1,normal,1017,698,289.415,2000,1,271
051,0,8,1025,700,1,1,normal,1085,406,300.06,2000,1,373
051,0,9,1095,397,1,1,normal,805,513,312.34,2000,1,316
051,0,10,820,506,1,1,normal,1093,429,283.651,2000,1,662
051,0,11,1082,437,1,1,normal,797,380,290.644,2000,1,624
051,0,12,813,383,1,1,normal,1061,523,284.788,2000,1,481
051,0,13,1070,534,1,1,normal,1240,763,285.203,2000,1,267
051,0,14,1245,766,1,1,normal,966,641,305.722,2000,1,301
051,0,15,967,639,1,1,normal,670,693,301.869,2000,1,556
051,0,16,672,703,1,1,normal,658,393,310.316,2000,1,551
051,0,17,644,395,1,1,normal,950,459,312.621,2000,1,639
051,0,18,964,445,1,1,normal,837,737,318.423,2000,1,463
051,0,19,841,737,1,1,normal,1136,768,296.624,2000,1,533
051,0,20,1149,762,1,1,normal,847,686,311.416,2000,1,525
051,0,21,842,679,1,1,normal,1089,508,300.416,2000,1,324
051,0,22,1086,507,1,1,normal,1359,638,302.804,2000,1,824
051,0,23,1375,641,1,1,normal,1272,351,307.748,2000,1,682
051,0,24,1256,358,1,1,normal,977,403,282.606,2000,1,523
051,0,25,967,405,1,1,normal,1132,660,303.727,2000,1,670
051,0,26,1132,657,1,1,normal,832,648,300.135,2000,1,271
051,0,27,805,638,1,1,normal,938,367,301.877,2000,1,404
051,0,28,933,359,1,1,normal,696,544,300.656,2000,1,568
051,0,29,691,548,1,1,normal,733,246,304.907,2000,1,319
051,0,30,746,227,1,1,normal,992,397,299.025,2000,1,427
051,1,1,925,978,1,-1,MODIFIED1,879,829,155.939,2000,0,2011
051,1,2,941,232,1,-1,MODIFIED1,591,746,621.849,2000,0,2008
051,1,3,1113,496,1,-1,MODIFIED1,676,458,438.649,2000,0,2002
051,1,4,438,834,1,-1,MODIFIED1,769,744,343.017,2000,0,2009
051,1,5,766,214,1,-1,MODIFIED1,1054,650,522.532,2000,0,2011
051,1,6,1112,1079,1,-1,MODIFIED1,754,658,552.635,2000,0,2010
