subnum,trial,step,startx,starty,xtrans,ytrans,label,targx,targy,dist,timeout,hit,rt
017,0,1,984,994,1,1,normal,1245,632,446.279,2000,1,987
017,0,2,1226,637,1,1,normal,1207,334,303.595,2000,1,927
017,0,3,1195,335,1,1,normal,943,477,289.254,2000,1,564
017,0,4,928,485,1,1,normal,643,475,285.175,2000,1,511
017,0,5,639,461,1,1,normal,932,394,300.563,2000,1,576
017,0,6,915,380,1,1,normal,816,671,307.379,2000,1,576
017,0,7,814,688,1,1,normal,639,429,312.58,2000,1,829
017,0,8,655,419,1,1,normal,912,553,289.836,2000,1,568
017,0,9,916,551,1,1,normal,1191,663,296.933,2000,1,739
017,0,10,1203,670,1,1,normal,1258,370,305,2000,1,694
017,0,11,1239,375,1,1,normal,999,521,280.92,2000,1,696
017,0,12,1018,518,1,1,normal,751,352,314.396,2000,1,787
017,0,13,746,349,1,1,normal,570,591,299.232,2000,1,390
017,0,14,568,578,1,1,normal,750,351,290.952,2000,1,364
017,0,15,744,354,1,1,normal,1046,302,306.444,2000,1,793
017,0,16,1055,311,1,1,normal,753,366,306.967,2000,1,311
017,0,17,744,372,1,1,normal,848,651,297.753,2000,1,637
017,0,18,840,659,1,1,normal,787,357,306.615,2000,1,869
017,0,19,788,345,1,1,normal,1061,479,304.113,2000,1,634
017,0,20,1048,472,1,1,normal,1339,593,315.154,2000,1,298
017,0,21,1390,629,1,1,normal,1350,293,338.373,2000,1,625
017,0,22,1336,288,1,1,normal,1052,328,286.803,2000,1,744
017,0,23,1064,339,1,1,normal,753,357,311.52,2000,1,675
017,0,24,741,370,1,1,normal,843,644,292.37,2000,1,536
017,0,25,831,648,1,1,normal,1087,469,312.373,2000,1,549
017,0,26,1103,476,1,1,normal,1213,741,286.923,2000,1,654
017,0,27,1191,750,1,1,normal,920,677,280.66,2000,1,541
017,0,28,931,682,1,1,normal,1214,616,290.594,2000,1,758
017,0,29,1224,600,1,1,normal,1326,338,281.155,2000,1,751
017,0,30,1313,333,1,1,normal,1091,524,292.857,2000,1,594
017,1,1,938,981,1,-1,MODIFIED1,743,332,677.662,2000,0,2011
017,1,2,367,532,1,-1,MODIFIED1,1038,383,687.344,2000,0,2003
017,1,3,644,71,1,-1,MODIFIED1,792,554,505.166,2000,0,2004
017,1,4,775,486,1,-1,MODIFIED1,911,829,368.978,2000,1,1416
017,1,5,912,265,1,-1,MODIFIED1,866,532,270.934,2000,1,720
017,1,6,856,550,1,-1,MODIFIED1,1049,770,292.659,2000,0,2013
017,1,7,1178,345,1,-1,MODIFIED1,766,673,526.619,2000,1,1189
017,1,8,759,418,1,-1,MODIFIED1,1063,713,423.605,2000,1,1546
017,1,9,1049,368,1,-1,MODIFIED1,1221,458,194.124,2000,1,1874
017,1,10,1217,637,1,-1,MODIFIED1,1038,695,188.162,2000,1,1278
017,1,11,1055,386,1,-1,MODIFIED1,746,764,488.226,2000,1,1009
017,1,12,760,321,1,-1,MODIFIED1,1007,617,385.519,2000,0,2002
017,1,13,1056,434,1,-1,MODIFIED1,1304,661,336.204,2000,1,936
017,1,14,1296,432,1,-1,MODIFIED1,1006,695,391.496,2000,1,2005
017,1,15,987,385,1,-1,MODIFIED1,1300,754,483.87,2000,0,2012
017,1,16,1278,148,1,-1,MODIFIED1,1099,531,422.765,2000,1,1835
017,1,17,1086,546,1,-1,MODIFIED1,932,780,280.129,2000,0,2013
017,1,18,939,378,1,-1,MODIFIED1,650,677,415.839,2000,0,2000
017,1,19,668,415,1,-1,MODIFIED1,839,444,173.442,2000,0,2004
017,1,20,781,612,1,-1,MODIFIED1,994,701,230.846,2000,1,1625
017,1,21,1005,374,1,-1,MODIFIED1,1292,668,410.859,2000,0,2001
017,1,22,1276,355,1,-1,MODIFIED1,1350,374,76.4003,2000,1,1058
017,1,23,1337,711,1,-1,MODIFIED1,1220,644,134.826,2000,1,1157
017,1,24,1225,435,1,-1,MODIFIED1,1124,360,125.801,2000,1,763
017,1,25,1133,719,1,-1,MODIFIED1,1157,658,65.5515,2000,1,770
017,1,26,1154,438,1,-1,MODIFIED1,1173,359,81.2527,2000,1,1192
017,1,27,1159,713,1,-1,MODIFIED1,875,326,480.026,2000,1,1670
017,1,28,884,741,1,-1,MODIFIED1,940,619,134.239,2000,1,1254
017,1,29,950,473,1,-1,MODIFIED1,1058,343,169.009,2000,1,1567
017,1,30,1047,724,1,-1,MODIFIED1,1004,639,95.2575,2000,1,1118
017,2,1,949,977,1,-1,MODIFIED2,915,836,145.041,2000,0,2010
017,2,2,946,346,1,-1,MODIFIED2,786,565,271.221,2000,1,1145
017,2,3,792,498,1,-1,MODIFIED2,892,285,235.306,2000,1,952
017,2,4,876,795,1,-1,MODIFIED2,592,282,586.366,2000,1,287
017,2,5,563,775,1,-1,MODIFIED2,592,582,195.167,2000,1,867
017,2,6,600,495,1,-1,MODIFIED2,861,448,265.198,2000,1,1620
017,2,7,864,648,1,-1,MODIFIED2,1158,485,336.162,2000,1,923
017,2,8,1151,587,1,-1,MODIFIED2,869,406,335.09,2000,1,1487
