subnum,trial,step,xtrans,ytrans,label,startx,starty,time,xpos,ypos,step,targx,targy,dist,timeout,hit
034,0,1,1,1,normal,953,980,3421,953,980,1,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3436,953,980,2,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3450,953,979,3,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3464,953,979,4,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3478,953,979,5,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3492,953,979,6,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3505,953,979,7,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3519,953,979,8,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3532,953,979,9,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3545,953,979,10,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3557,953,979,11,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3570,953,979,12,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3585,953,979,13,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3598,953,979,14,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3611,953,979,15,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3623,953,979,16,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3636,953,979,17,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3649,953,979,18,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3662,953,979,19,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3675,953,979,20,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3689,953,979,21,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3701,953,979,22,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3714,953,979,23,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3726,949,979,24,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3739,946,977,25,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3752,936,970,26,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3764,930,966,27,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3776,913,958,28,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3789,896,948,29,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3803,890,941,30,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3815,875,929,31,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3828,867,919,32,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3841,847,901,33,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3854,810,865,34,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3867,788,849,35,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3879,742,817,36,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3893,714,794,37,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3906,666,756,38,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3918,626,724,39,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3932,612,714,40,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3945,597,701,41,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3959,590,692,42,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3972,588,690,43,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3985,583,683,44,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,3999,581,676,45,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4014,590,665,46,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4026,600,653,47,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4038,623,635,48,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4051,637,619,49,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4065,673,595,50,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4078,698,570,51,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4091,709,557,52,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4104,720,543,53,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4118,727,537,54,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4129,729,536,55,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4141,733,533,56,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4154,734,533,57,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4166,736,532,58,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4179,736,532,59,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4191,736,532,60,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4203,736,532,61,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4217,735,530,62,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4230,725,521,63,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4244,715,517,64,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4258,691,510,65,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4271,670,503,66,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4285,663,500,67,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4297,648,494,68,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4309,644,492,69,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4321,638,487,70,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4334,636,483,71,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4348,636,482,72,670,460,592.021,2000,0
034,0,1,1,1,normal,953,980,4361,636,481,73,670,460,592.021,2000,0
