subnum,trial,step,xtrans,ytrans,label,startx,starty,time,xpos,ypos,step,targx,targy,dist,timeout,hit
M2009,0,1,1,1,normal,954,983,10212,954,983,1,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10225,954,983,2,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10239,954,983,3,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10252,954,983,4,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10264,954,983,5,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10276,954,983,6,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10288,954,983,7,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10301,954,983,8,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10314,954,983,9,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10328,954,983,10,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10341,954,983,11,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10354,954,983,12,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10366,954,983,13,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10380,954,983,14,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10394,954,983,15,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10406,954,983,16,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10420,954,983,17,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10433,954,983,18,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10446,954,983,19,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10460,954,983,20,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10472,954,983,21,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10485,954,983,22,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10499,954,983,23,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10512,954,983,24,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10525,954,983,25,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10539,954,983,26,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10551,954,983,27,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10564,954,983,28,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10578,954,983,29,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10592,954,983,30,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10605,954,983,31,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10617,954,983,32,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10630,954,983,33,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10644,954,983,34,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10657,954,983,35,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10671,954,983,36,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10683,954,983,37,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10696,954,983,38,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10709,954,983,39,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10721,954,983,40,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10734,954,983,41,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10747,954,983,42,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10760,954,983,43,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10772,954,983,44,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10785,954,983,45,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10798,954,983,46,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10812,954,983,47,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10825,954,983,48,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10838,954,983,49,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10851,954,983,50,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10862,954,983,51,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10875,951,981,52,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10887,926,959,53,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10901,907,932,54,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10914,898,913,55,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10928,870,860,56,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10941,839,788,57,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10953,827,749,58,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10968,806,689,59,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10979,801,670,60,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,10993,797,640,61,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11006,797,625,62,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11018,797,620,63,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11030,797,612,64,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11044,800,604,65,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11057,800,601,66,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11069,802,595,67,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11081,803,592,68,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11093,804,587,69,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11107,809,581,70,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11119,812,576,71,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11133,816,570,72,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11146,821,564,73,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11160,823,560,74,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11172,829,554,75,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11185,832,549,76,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11199,832,549,77,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11212,832,549,78,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11226,832,549,79,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11239,832,549,80,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11253,832,549,81,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11266,832,549,82,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11279,832,549,83,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11293,832,549,84,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11305,832,549,85,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11316,832,549,86,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11329,832,549,87,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11343,832,549,88,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11356,832,549,89,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11368,832,549,90,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11382,832,549,91,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11395,832,549,92,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11407,832,549,93,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11420,832,549,94,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11434,832,549,95,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11446,832,549,96,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11457,832,549,97,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11470,832,549,98,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11482,832,549,99,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11495,832,548,100,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11508,832,548,101,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11521,826,552,102,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11534,820,562,103,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11548,815,568,104,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11560,815,568,105,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11574,815,568,106,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11587,815,568,107,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11600,815,568,108,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11615,815,568,109,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11627,815,568,110,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11641,815,568,111,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11654,815,568,112,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11667,815,568,113,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11680,815,568,114,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11693,815,568,115,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11706,815,568,116,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11719,815,568,117,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11732,815,568,118,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11746,815,568,119,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11759,815,568,120,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11773,815,568,121,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11785,815,568,122,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11798,815,568,123,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11811,815,568,124,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11824,815,568,125,673,628,452.754,2000,0
M2009,0,1,1,1,normal,954,983,11837,815,568,126,673,628,452.754,2000,0
