subnum,trial,step,startx,starty,xtrans,ytrans,label,targx,targy,dist,timeout,hit,rt
032,0,1,955,980,1,1,normal,676,638,441.367,2000,1,715
032,0,2,679,657,1,1,normal,936,488,307.587,2000,1,653
032,0,3,933,493,1,1,normal,913,787,294.679,2000,1,475
032,0,4,919,783,1,1,normal,963,491,295.296,2000,1,546
032,0,5,964,498,1,1,normal,1262,477,298.739,2000,1,326
032,0,6,1295,469,1,1,normal,993,609,332.872,2000,1,598
032,0,7,999,602,1,1,normal,1289,560,293.026,2000,1,327
032,0,8,1281,556,1,1,normal,1032,715,295.435,2000,1,497
032,0,9,1047,706,1,1,normal,1032,415,291.386,2000,1,326
032,0,10,1037,413,1,1,normal,1252,619,297.76,2000,1,511
032,0,11,1251,631,1,1,normal,1304,323,312.527,2000,1,351
032,0,12,1327,299,1,1,normal,1279,622,326.547,2000,1,679
032,0,13,1263,616,1,1,normal,1315,325,295.61,2000,1,326
032,0,14,1324,311,1,1,normal,1053,471,314.708,2000,1,591
032,0,15,1061,487,1,1,normal,761,541,304.821,2000,1,431
032,0,16,771,544,1,1,normal,667,826,300.566,2000,1,982
032,0,17,683,820,1,1,normal,733,533,291.323,2000,1,525
032,0,18,742,545,1,1,normal,944,747,285.671,2000,1,778
032,0,19,962,748,1,1,normal,1130,511,290.505,2000,1,431
032,0,20,1134,502,1,1,normal,1302,756,304.532,2000,1,530
032,0,21,1286,753,1,1,normal,1196,476,291.254,2000,1,389
032,0,22,1206,487,1,1,normal,925,348,313.5,2000,1,518
032,0,23,938,356,1,1,normal,1215,425,285.465,2000,1,370
032,0,24,1219,433,1,1,normal,1149,718,293.471,2000,1,324
032,0,25,1134,738,1,1,normal,884,577,297.357,2000,1,632
032,0,26,896,575,1,1,normal,1158,454,288.591,2000,1,298
032,0,27,1151,460,1,1,normal,1133,752,292.554,2000,1,492
032,0,28,1146,745,1,1,normal,1006,480,299.708,2000,1,369
032,0,29,1001,490,1,1,normal,1300,421,306.858,2000,1,449
032,0,30,1283,422,1,1,normal,1108,651,288.212,2000,1,718
032,1,1,971,979,1,-1,MODIFIED1,663,584,500.888,2000,0,2008
032,1,2,683,569,1,-1,MODIFIED1,753,298,279.895,2000,0,2013
032,1,3,727,748,1,-1,MODIFIED1,648,579,186.553,2000,0,2000
032,1,4,667,642,1,-1,MODIFIED1,835,814,240.433,2000,0,2002
