subnum,trial,step,xtrans,ytrans,label,startx,starty,time,xpos,ypos,step,targx,targy,dist,timeout,hit
021,0,1,1,1,normal,955,977,14901,955,977,1,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,14916,955,977,2,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,14929,955,977,3,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,14942,955,977,4,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,14956,955,977,5,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,14968,955,977,6,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,14982,955,977,7,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,14997,955,977,8,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15011,955,977,9,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15024,955,977,10,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15037,955,977,11,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15050,955,977,12,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15063,955,977,13,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15077,955,977,14,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15091,955,977,15,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15104,955,977,16,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15118,955,977,17,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15132,955,977,18,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15147,955,977,19,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15158,955,977,20,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15171,955,977,21,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15184,955,977,22,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15198,955,977,23,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15211,955,977,24,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15224,955,977,25,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15237,955,977,26,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15250,955,977,27,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15263,955,977,28,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15276,955,977,29,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15289,955,977,30,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15302,955,977,31,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15316,955,977,32,1217,694,385.659,2000,0
021,0,1,1,1,normal,955,977,15329,955,977,33,1217,694,385.659,2000,0
